Date,AAP,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.2947076132454723,-0.0,-0.3272825231049774,-0.0,-0.863317999088234,-0.037962617597082346,-0.17501761365991128,-0.0,-0.0,-0.10410709105226076,-0.0,-0.0,-0.43325458991255333,-0.0,-0.8376227775705583,-0.0,-0.0711177421360189
2019-01-03,1.0,-0.0,-0.30385058416982064,-0.0,-0.2649744939937469,-0.0,-0.7727085733091986,-0.10622017442817179,-0.18084581207832812,-0.0,-0.0,-0.12197630409741649,-0.0,-0.0,-0.45334869178871157,-0.0,-0.831207832812243,-0.0,-0.07873950962646042
2019-01-04,1.0,-0.0,-0.4153112492548752,-0.0,-0.3036702716511964,-0.0,-0.7467853189133952,-0.15196287149791363,-0.07881290981861533,-0.0,-0.0,-0.07412926850038319,-0.0,-0.0,-0.5407051009111811,-0.0,-0.9240398535297624,-0.0,-0.02243889977007579
2019-01-07,1.0,-0.0,-0.22546476437527022,-0.0,-0.5558149589277994,-0.0,-0.9997838305231301,-0.004712494595763078,-0.0,-0.0,-0.0,-0.048032857760484216,-0.0,-0.0,-0.5115866839602248,-0.0,-0.904885430177259,-0.0,-0.07306528318201469
2019-01-08,1.0,-0.0,-0.23617177701855296,-0.0,-0.5532154132249276,-0.0,-0.9921290489988324,-0.007654716083553173,-0.0,-0.0,-0.0,-0.034900315702979724,-0.0,-0.0,-0.5097089478008909,-0.0,-0.9057648229036025,-0.0,-0.08519655754011157
2019-01-09,1.0,-0.0,-0.14667701729417346,-0.0,-0.4998059257342477,-0.0,-1.0404537025057143,-0.03903049122353043,-0.0,-0.0,-0.0,-0.1014792771811791,-0.0,-0.0,-0.513865528097641,-0.0,-0.8821322292663993,-0.0,-0.08936041747530944
2019-01-10,1.0,-0.0,-0.17707285057974184,-0.0,-0.5190111572959966,-0.0,-1.0648435790855393,-0.07547582585867425,-0.0,-0.0,-0.0,-0.10969153358127323,-0.0,-0.0,-0.45386129949682785,-0.0,-0.917085976810326,-0.0,-0.05828046379348064
2019-01-11,1.0,-0.0,-0.14259106856672585,-0.0,-0.5033568675011911,-0.0,-1.0266383679126783,-0.06293585134491272,-0.0,-0.0,-0.0,-0.12847056785203795,-0.0,-0.0,-0.46606315242344176,-0.0,-0.8940529302204705,-0.0,-0.10728981678000607
2019-01-14,1.0,-0.0,-0.15920375953183186,-0.0,-0.5525802447242418,-0.0,-1.0704468877460542,-0.0,-0.0,-0.0,-0.0,-0.14133711651001948,-0.0,-0.0,-0.4466217414435183,-0.0,-0.9477300939882957,-0.0,-0.11549033516580953
2019-01-15,1.0,-0.0,-0.09698805760449596,-0.0,-0.5920706006322445,-0.0,-1.0667369160519846,-0.0,-0.0,-0.0,-0.0,-0.18905865823674045,-0.0,-0.0,-0.4726466455918511,-0.0,-0.8630576044959607,-0.0,-0.11002809975412715
2019-01-16,1.0,-0.0,-0.077324292606598,-0.0,-0.6413700178206633,-0.0,-1.0428999869604902,-0.0,-0.0,-0.0,-0.0,-0.17698961185726084,-0.0,-0.0,-0.4582083713652367,-0.0,-0.8343547615942973,-0.0,-0.11535619594036599
2019-01-17,1.0,-0.0,-0.08395749869360737,-0.0,-0.6403501132206931,-0.0,-1.036709632468211,-0.0,-0.0,-0.0,-0.0,-0.19360738547291412,-0.0,-0.0,-0.4481362132032747,-0.0,-0.8448005573941821,-0.0,-0.1070806479707368
2019-01-18,1.0,-0.0,-0.08493939129676464,-0.0,-0.6433243219673848,-0.0,-1.041902851661289,-0.0,-0.0,-0.0,-0.0,-0.1926833522281329,-0.0,-0.0,-0.447283509200314,-0.0,-0.8454696084416151,-0.0,-0.10473532746141101
2019-01-22,1.0,-0.0,-0.11835832538788246,-0.0,-0.5843373493975904,-0.0,-1.0354511571465719,-0.0,-0.0,-0.0,-0.0,-0.17989945393083123,-0.0,-0.0,-0.43026783392563056,-0.0,-0.8794747334662391,-0.0,-0.10609343850221027
2019-01-23,1.0,-0.0,-0.11766236018382034,-0.0,-0.5856238619613284,-0.0,-1.0396687765542356,-0.0,-0.0,-0.0,-0.0,-0.17909477152518857,-0.0,-0.0,-0.4297667562646319,-0.0,-0.8785225006503078,-0.0,-0.10504638862394867
2019-01-24,1.0,-0.0,-0.12641892183521083,-0.0,-0.6180672450256808,-0.0,-1.0230048772066123,-0.0,-0.0,-0.0,-0.0,-0.17903232767922655,-0.0,-0.0,-0.3947947688721999,-0.0,-0.874142172730804,-0.0,-0.1006085717985239
2019-01-25,1.0,-0.0,-0.07683316099447018,-0.0,-0.6999955042035697,-0.0,-1.1482713662725355,-0.0,-0.0,-0.0,-0.0,-0.15712808524030034,-0.0,-0.0,-0.5498359034302928,-0.0,-0.8145034392842693,-0.0,-0.04927392887650047
2019-01-28,1.0,-0.0,-0.06622876557191393,-0.0,-0.7044167610419027,-0.0,-1.1473159682899208,-0.0,-0.0,-0.0,-0.0,-0.1588674971687429,-0.0,-0.0,-0.5593204983012457,-0.0,-0.8431710079275198,-0.0,-0.050600226500566246
2019-01-29,1.0,-0.0,-0.06951385733757383,-0.0,-0.6993184915947297,-0.0,-1.1560199909132214,-0.0,-0.0,-0.0,-0.0,-0.15761017719218537,-0.0,-0.0,-0.5930486142662427,-0.0,-0.8292594275329396,-0.0,-0.03861880963198547
2019-01-30,1.0,-0.0,-0.06959956415145736,-0.0,-0.6895033142649596,-0.0,-1.150049940978843,-0.0,-0.0,-0.0,-0.0,-0.1609915554344865,-0.0,-0.0,-0.5937982384454734,-0.0,-0.8316080995187505,-0.0,-0.04453827295014982
2019-01-31,1.0,-0.0,-0.06647032170367013,-0.0,-0.7021748980516538,-0.0,-1.1510194834617127,-0.0,-0.0,-0.0,-0.0,-0.16039873130946986,-0.0,-0.0,-0.5901676483914816,-0.0,-0.8241504304485727,-0.0,-0.03670140462165836
2019-02-01,1.0,-0.0,-0.0,-0.0,-0.6980436249156734,-0.0,-1.2223971216550484,-0.0,-0.07627614121879919,-0.0,-0.0,-0.1937036204182595,-0.0,-0.0,-0.5132448841915899,-0.0,-0.7856982235214751,-0.0,-0.008050371036653924
2019-02-04,1.0,-0.0,-0.0,-0.0,-0.6970051263602842,-0.0,-1.2184099289504453,-0.0,-0.07640075546362084,-0.0,-0.0,-0.1934526486194802,-0.0,-0.0,-0.5142099109632161,-0.0,-0.7867613994064215,-0.0,-0.010612465149743682
2019-02-05,1.0,-0.0,-0.0,-0.0,-0.692169459544454,-0.0,-1.2136663821375624,-0.0,-0.08046183566197941,-0.0,-0.0,-0.19353969181005434,-0.0,-0.0,-0.5126914955748236,-0.0,-0.789029156745586,-0.0,-0.011051709420908397
2019-02-06,1.0,-0.0,-0.0,-0.0,-0.6901060388209921,-0.0,-1.2173795830337886,-0.0,-0.07588964773544211,-0.0,-0.0,-0.201294033069734,-0.0,-0.0,-0.5160406182602444,-0.0,-0.7869787922358016,-0.0,-0.005436736161035226
2019-02-07,1.0,-0.0,-0.0,-0.0,-0.6988930224117593,-0.0,-1.227520188730605,-0.0,-0.08960166953996915,-0.0,-0.0,-0.1971690409218764,-0.0,-0.0,-0.5150621540695037,-0.0,-0.8046003085019509,-0.0,-0.003901642319208783
