Date,ACC,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.0,-0.0,-0.18357739289873387,-0.0,-0.1314452786243465,-0.0,-0.019945984786540794,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.562551103843009,-0.5802423251319409,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.0,-0.0,-0.18350289793786226,-0.0,-0.13793189224148653,-0.0,-0.014328001791000225,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5685181960647745,-0.5832193229024154,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.0,-0.0,-0.18269016283738568,-0.0,-0.1048405085879991,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6099833940565593,-0.5809849555109426,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.0,-0.0,-0.15267045316042221,-0.0,-0.08263656972917632,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6371791434073569,-0.5651951344367794,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.0,-0.0,-0.15225815886324306,-0.0,-0.08191766799093325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6355748373101953,-0.5675254088571499,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.0,-0.0,-0.1531428292778076,-0.0,-0.08011898376164237,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6370751450724144,-0.5678304969034964,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.0,-0.0,-0.16131474200874216,-0.0,-0.08234231154306366,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6340504505384484,-0.5642353056091426,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.0,-0.0,-0.16384428223844283,-0.0,-0.08306569343065694,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6257664233576642,-0.5604379562043795,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.0,-0.0,-0.1644195668045753,-0.0,-0.08306157215867609,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6249452421513751,-0.5612557799951327,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.0,-0.0,-0.16525732614083685,-0.0,-0.08113427613354716,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6284686786217621,-0.5550371774311124,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.0,-0.0,-0.17101182399689865,-0.0,-0.07254312851327778,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6280044582283388,-0.5514150029075403,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.0,-0.0,-0.17162659945715392,-0.0,-0.07233908491663436,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6279081039162466,-0.551546141915471,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.0,-0.0,-0.16773522367115865,-0.0,-0.07083928096194325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6295453995596739,-0.5512544456003677,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.0,-0.0,-0.1709064504417282,-0.0,-0.06951470410262615,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.629190366694905,-0.5508168945903424,-0.0,-0.0
