Date,AFIN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-18,1.0,-0.0,-0.05777649492471256,-0.0,-2.0255448116611343,-1.7273776879780631,0.0
2019-03-19,1.0,-0.0,-0.04988913525498891,-0.0,-2.040682541212764,-1.7296828304251421,0.0
2019-03-20,1.0,-0.0,-0.0613980000966137,-0.0,-2.0422201825998747,-1.7270663252982947,0.0
2019-03-21,1.0,-0.0,-0.06082619013027265,-0.0,-2.1048476923821977,-1.6771756501525499,0.0
2019-03-22,1.0,-0.0,-0.05658204156068532,-0.0,-2.0992465326102603,-1.6433747660411768,0.0
2019-03-25,1.0,-0.0,-0.0,-0.0,-2.085568267066767,-1.6031039009752437,0.0
2019-03-26,1.0,-0.0,-0.0,-0.0,-2.086528545982938,-1.6008718477547577,0.0
2019-03-27,1.0,-0.0,-0.0,-0.0,-2.087232948436258,-1.5876303118133797,0.0
2019-03-28,1.0,-0.0,-0.0,-0.0,-2.0842793739780423,-1.5875262789067976,0.0
2019-03-29,1.0,-0.0,-0.0,-0.0,-2.0825199645075423,-1.5875402792696027,0.0
2019-04-01,1.0,-0.0,-0.0,-0.0,-2.0864197530864197,-1.5723270440251573,0.0
2019-04-02,1.0,-0.0,-0.0,-0.0,-2.1075507467517456,-1.5163453091043604,0.0
2019-04-03,1.0,-0.0,-0.0,-0.0,-2.106368219026037,-1.5183369560190536,0.0
2019-04-04,1.0,-0.0,-0.0,-0.0,-2.1120354963948973,-1.5098909225365134,0.0
2019-04-05,1.0,-0.0,-0.0,-0.0,-2.124514338575393,-1.500832562442183,0.0
2019-04-08,1.0,-0.0,-0.0,-0.0,-2.124162469386812,-1.4967422947183586,0.0
2019-04-09,1.0,-0.0,-0.0,-0.0,-2.125473878871937,-1.4977346278317154,0.0
2019-04-10,1.0,-0.0,-0.0,-0.0,-2.127851557077414,-1.4994215908565083,0.0
2019-04-11,1.0,-0.0,-0.0038199944097642787,-0.0,-2.1350973632721515,-1.519612410323302,0.0
2019-04-12,1.0,-0.0,-0.008756731444626551,-0.0,-2.150128775462421,-1.5238585811285414,0.0
2019-04-15,1.0,-0.0,-0.01034208432776452,-0.0,-2.139547943282325,-1.5297393420375311,0.0
2019-04-16,1.0,-0.0,-0.012456682588742156,-0.0,-2.1385688863913086,-1.5319378102463237,0.0
2019-04-17,1.0,-0.0,-0.01810742169128022,-0.0,-2.1760417646505505,-1.5090772269777066,0.0
2019-04-18,1.0,-0.0,-0.0198033773931041,-0.0,-2.1765840349969428,-1.5075497436379885,0.0
