Date,AHCO,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05964519140989729,-0.0,-0.02426392779333956,-0.0196078431372549,-0.0,-0.0,-0.0,-0.0,-0.0337130407718643,-0.0,-0.10769996887643947,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05224140504502712,-0.0,-0.025847057067515795,-0.023060848798447685,-0.0,-0.0,-0.0,-0.0,-0.035922185183342455,-0.0,-0.10677148116821732,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04643506887290998,-0.0,-0.020098761153946116,-0.025903144763059865,-0.0,-0.0,-0.0,-0.0,-0.03795745102164577,-0.0,-0.10721401962846994,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.056536195389091264,-0.0,-0.012382954795491773,-0.018629440383345963,-0.0,-0.0,-0.0,-0.0,-0.03526636188054666,-0.0,-0.09958927218052466,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05626320481662861,-0.0,-0.012236972265305375,-0.018636346982890222,-0.0,-0.0,-0.0,-0.0,-0.03498894764481028,-0.0,-0.09914145793388128,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.059200447438173286,-0.0,-0.011793886632784575,-0.015453639082751746,-0.0,-0.0,-0.0,-0.0,-0.034956107287892425,-0.0,-0.0944726795224084,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06582146156464239,-0.0,-0.01226479311518452,-0.014914669130159965,-0.0,-0.0,-0.0,-0.0,-0.028030339864832013,-0.0,-0.0944960373413721,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06378805124355218,-0.0,-0.008524447242874095,-0.017145763204417214,-0.0,-0.0,-0.0,-0.0,-0.03262054101179376,-0.0,-0.08876807207032669,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06303152181813777,-0.0,-0.00894046955636857,-0.017711336709228795,-0.0,-0.0,-0.0,-0.0,-0.03172776391345432,-0.0,-0.09005887626293219,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.0,-0.0,-0.0017150379844680364,-0.0,-0.06380665966158194,-0.0,-0.007029240189861952,-0.016727659214705846,-0.0,-0.0,-0.0,-0.0,-0.0361607304612486,-0.0,-0.08232182325446574,-0.0,-0.0
