Date,ALLK,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-1.3808968377397615,-0.0,-0.7045101088646967,-0.0,-2.489891135303266,-0.0,-0.43299637117677553,-1.0234577501296007,-0.0,-0.0,-0.0,-0.0,-1.8414981855883876,-0.0,-4.086702954898911,-0.0,-0.0
2019-01-03,1.0,-0.0,-1.4228995901639345,-0.0,-0.6147540983606558,-0.0,-2.3140368852459017,-0.0,-0.4688780737704918,-1.0947745901639345,-0.0,-0.0,-0.0,-0.0,-1.8782018442622952,-0.0,-4.013960040983607,-0.0,-0.0
2019-01-04,1.0,-0.0,-1.4518415390456905,-0.0,-0.593089482344007,-0.0,-2.239589925325908,-0.0,-0.3709657005442349,-1.111758005315783,-0.0,-0.0,-0.0,-0.0,-1.8820402480698646,-0.0,-4.007340842931275,-0.0,-0.0
2019-01-07,1.0,-0.0,-1.1488071168621108,-0.0,-1.2461248146650492,-0.0,-3.0970481196926807,-0.0,-0.0,-0.8222132362852136,-0.0,-0.0,-0.0,-0.0,-1.967650626769106,-0.0,-4.197061598598193,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.9537507050197407,-0.0,-1.3230400451212634,-0.0,-3.2807388606880994,-0.0,-0.11125211505922165,-0.8663282571912014,-0.0,-0.0,-0.0,-0.0,-2.098984771573604,-0.0,-4.466159052453469,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.83737760749255,-0.0,-1.2738754079750247,-0.0,-3.550872711792252,-0.0,-0.17269760181637575,-0.7730949340144742,-0.0,-0.008088548318433374,-0.0,-0.0,-2.1877394636015324,-0.0,-4.386689371363701,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.9217989114866801,-0.0,-1.3255514179318246,-0.0,-3.6141506731595534,-0.0,-0.14007447722715557,-0.7323116585505587,-0.0,-0.05557146949298196,-0.0,-0.0,-2.089945574334002,-0.0,-4.443282727012318,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.8947220267417312,-0.0,-1.2944405348346235,-0.0,-3.5400422237860663,-0.0,-0.07178043631245602,-0.758057705840957,-0.0,-0.10992258972554539,-0.0,-0.0,-2.0959887403237154,-0.0,-4.30935960591133,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.9062103929024081,-0.0,-1.2889733840304183,-0.0,-3.547669342346148,-0.0,-0.06154062808055203,-0.7436980706942684,-0.0,-0.12181382903816362,-0.0,-0.0,-2.116321644838755,-0.0,-4.296437121532178,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.7312318540024886,-0.0,-1.386699847919259,-0.0,-3.5105765242637905,-0.0,-0.0,-0.7384211253974837,-0.0,-0.29351583022259087,-0.0,-0.0,-2.1765519148347847,-0.0,-3.9886630720309686,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.6658473105841527,-0.0,-1.600347021399653,-0.0,-3.6581839213418164,-0.0,-0.43363215731636784,-0.5043377674956623,-0.0,-0.22296124927703875,-0.0,-0.0,-2.276171197223829,-0.0,-4.0975997686524,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.6272635086194408,-0.0,-1.6091554396639143,-0.0,-3.7099811676082863,-0.0,-0.4524119947848762,-0.5557004201071998,-0.0,-0.10691003911342896,-0.0,-0.0,-2.363320295523686,-0.0,-4.0620020281037235,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.5932721712538227,-0.0,-1.632590650939275,-0.0,-3.7279743701762054,-0.0,-0.2961992136304063,-0.6334643949322848,-0.0,-0.1706713266346294,-0.0,-0.0,-2.4076015727391877,-0.0,-4.100626183194991,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.6702296692185469,-0.0,-1.4680052000577783,-0.0,-3.6719630218113535,-0.0,-0.24685829842553808,-0.7134190379893111,-0.0,-0.11411237902643363,-0.0,-0.0,-2.333237035967066,-0.0,-4.226780297558862,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.6716010347801092,-0.0,-1.4354699626329404,-0.0,-3.712561080770336,-0.0,-0.23900546133946535,-0.6754814601897097,-0.0,-0.11799367634377694,-0.0,-0.0,-2.281115263006611,-0.0,-4.238718022420236,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.6668562491113322,-0.0,-1.4552822408644959,-0.0,-3.6340110905730123,-0.0,-0.2796815014929617,-0.6923076923076922,-0.0,-0.10024171761694867,-0.0,-0.0,-2.191241291056448,-0.0,-4.199061566898905,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.685953938015354,-0.0,-1.4466875177708274,-0.0,-3.6194199601933463,-0.0,-0.26869491043502985,-0.7003127665624111,-0.0,-0.11160079613306795,-0.0,-0.0,-2.1575206141597953,-0.0,-4.226329257890248,-0.0,-0.0
2019-01-28,1.0,-0.0,-0.7039154044012574,-0.0,-1.414832809374107,-0.0,-3.6709059731351816,-0.0,-0.36024578450985995,-0.6889111174621321,-0.0,-0.09859959988568162,-0.0,-0.0,-2.1504715633038014,-0.0,-4.201914832809374,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.7014476135875017,-0.0,-1.4221011896230473,-0.0,-3.6885480865701594,-0.0,-0.35574028952271747,-0.7001576608857675,-0.0,-0.10090296689121399,-0.0,-0.0,-2.1318618317328366,-0.0,-4.231904830156228,-0.0,-0.0
2019-01-30,1.0,-0.0,-0.6982466480035362,-0.0,-1.3872108442610873,-0.0,-3.765286577280094,-0.0,-0.2093708560483277,-0.8541329011345219,-0.0,-0.20716074848975982,-0.0,-0.0,-2.200383085310152,-0.0,-4.412406070428761,-0.0,-0.0
2019-01-31,1.0,-0.0,-0.6331106161841129,-0.0,-1.6641425389755014,-0.0,-3.702598366740906,-0.0,-0.1526354862657758,-0.8044543429844099,-0.0,-0.267260579064588,-0.0,-0.0,-2.214996288047513,-0.0,-4.408463251670379,-0.0,-0.0
2019-02-01,1.0,-0.0,-0.7073855243722305,-0.0,-1.5655834564254063,-0.0,-4.121418020679468,-0.0,-0.636189069423929,-0.1255539143279173,-0.0,-0.41063515509601184,-0.0,-0.0,-2.009305760709011,-0.0,-4.194977843426883,-0.0,-0.0
2019-02-04,1.0,-0.0,-0.7066390655034748,-0.0,-1.5726748484400415,-0.0,-4.140765932278575,-0.0,-0.6390655034747894,-0.11429838828922076,-0.0,-0.41993198284784866,-0.0,-0.0,-2.0010350436196958,-0.0,-4.191926659766375,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.6097052694254242,-0.0,-1.555522476927657,-0.0,-4.136945519499851,-0.0,-0.7466507889252754,-0.12444179815421255,-0.0,-0.45162250669842213,-0.0,-0.0,-1.9876451324799047,-0.0,-4.272849062220899,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.6446897374701671,-0.0,-1.5356503579952268,-0.0,-4.149910501193317,-0.0,-0.718227923627685,-0.08457637231503579,-0.0,-0.49090095465393796,-0.0,-0.0,-2.0150656324582337,-0.0,-4.27744630071599,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.6864267582499626,-0.0,-1.5278482902792294,-0.0,-4.167388382857996,-0.0,-0.7106166940421084,-0.03389577422726594,-0.0,-0.5003733014782739,-0.0,-0.0,-2.0316559653576225,-0.0,-4.273853964461699,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.6854670247687258,-0.0,-1.517905102954342,-0.0,-4.163682482840944,-0.0,-0.7170993733213966,-0.03491495076096688,-0.0,-0.5026857654431512,-0.0,-0.0,-2.03715308863026,-0.0,-4.262011339898538,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.6784107946026987,-0.0,-1.5694152923538232,-0.0,-4.150074962518741,-0.0,-0.7241379310344829,-0.005247376311844078,-0.0,-0.5574212893553223,-0.0,-0.0,-2.0214392803598202,-0.0,-4.286356821589205,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.43266656166325407,-0.0,-1.5955268546227752,-0.0,-4.451409670814301,-0.0,-0.8193416286029295,-0.1682154670026776,-0.0,-0.619625137816979,-0.0,-0.0,-2.0792250748149312,-0.0,-4.5846590014175455,-0.0,-0.0
2019-02-13,1.0,-0.0,-0.4398831737790037,-0.0,-1.5995456758072368,-0.0,-4.758234625993834,-0.0,-0.6545513548596463,-0.16793769268213532,-0.0,-0.6388122667532047,-0.0,-0.0,-2.0863215966250204,-0.14651955216615284,-4.73422034723349,-0.0,-0.0
2019-02-14,1.0,-0.0,-0.43839401820546164,-0.0,-1.6160598179453836,-0.0,-4.771293888166451,-0.0,-0.6516579973992198,-0.1615734720416125,-0.0,-0.6410923276983096,-0.0,-0.0,-2.0885890767230166,-0.15929778933680103,-4.726755526657997,-0.0,-0.0
2019-02-15,1.0,-0.0,-0.5139474537787869,-0.0,-1.5741161206616932,-0.0,-4.767272137528382,-0.0,-0.6542328900421668,-0.1955887122932209,-0.0,-0.5606552059682127,-0.0,-0.0,-1.9649691858579306,-0.2348361985079468,-4.752513785274084,-0.0,-0.0
2019-02-19,1.0,-0.0,-0.4025616083009079,-0.0,-1.5880350194552528,-0.0,-4.771076523994812,-0.0,-0.6856355382619974,-0.3386835278858625,-0.0,-0.4103437094682231,-0.0,-0.0,-1.933041504539559,-0.2607003891050584,-4.822632944228275,-0.0,-0.0
2019-02-20,1.0,-0.0,-0.39000323519896474,-0.0,-1.5913943707538012,-0.0,-4.791329666774507,-0.0,-0.6549660304108702,-0.34535748948560335,-0.0,-0.424134584276933,-0.0,-0.0,-1.9050469103849887,-0.2858298285344549,-4.78760918796506,-0.0,-0.0
2019-02-21,1.0,-0.0,-0.3975728155339806,-0.0,-1.5940129449838187,-0.0,-4.794822006472492,-0.0,-0.6537216828478964,-0.3409385113268608,-0.0,-0.41893203883495145,-0.0,-0.0,-1.904692556634304,-0.2828478964401294,-4.793851132686084,-0.0,-0.0
2019-02-22,1.0,-0.0,-0.3488259109311741,-0.0,-1.6181376518218622,-0.0,-4.773279352226721,-0.0,-0.671417004048583,-0.3988663967611336,-0.0,-0.43190283400809715,-0.0,-0.0,-1.9336032388663968,-0.2019433198380567,-4.8160323886639675,-0.0,-0.0
2019-02-25,1.0,-0.0,-0.3446033810143043,-0.0,-1.6227243172951886,-0.0,-4.826397919375813,-0.0,-0.7160273081924577,-0.41986345903771133,-0.0,-0.38719115734720416,-0.0,-0.0,-1.890442132639792,-0.1453185955786736,-4.902308192457738,-0.0,-0.0
2019-02-26,1.0,-0.0,-0.28740026595744683,-0.0,-1.655086436170213,-0.0,-4.889128989361702,-0.0,-0.8299534574468086,-0.433344414893617,-0.0,-0.46875,-0.0,-0.0,-1.9064162234042554,-0.11120345744680851,-5.0412234042553195,-0.0,-0.0
2019-02-27,1.0,-0.0,-0.22648720505151212,-0.0,-1.6427384513127286,-0.0,-4.872549019607844,-0.0,-0.839481555333998,-0.4875373878364906,-0.0,-0.47922897972748424,-0.0,-0.0,-1.915752741774676,-0.08806912595546694,-5.06497175141243,-0.0,-0.0
2019-02-28,1.0,-0.0,-0.23228609625668448,-0.0,-1.7043783422459893,-0.0,-4.884358288770054,-0.0,-0.8420788770053476,-0.48345588235294124,-0.0,-0.4727606951871658,-0.0,-0.0,-1.911096256684492,-0.09441844919786097,-5.086564171122995,-0.0,-0.0
2019-03-01,1.0,-0.0,-0.20151959937834568,-0.0,-1.8732515973061645,-0.0,-4.934898981177689,-0.0,-1.0229666724227249,-0.3976860645829735,-0.0,-0.4703850802970126,-0.0,-0.0,-1.9960283198065962,-0.07805214988775686,-5.293213607321706,-0.0,-0.0
2019-03-04,1.0,-0.0,-0.18635809987819732,-0.0,-1.860274926048373,-0.0,-5.068209500609013,-0.0,-1.0394988689751175,-0.37706629545850007,-0.0,-0.46598225160953544,-0.0,-0.0,-1.9958239081259788,-0.06159735514181312,-5.345919610231425,-0.0,-0.0
2019-03-05,1.0,-0.0,-0.19056321648114302,-0.0,-1.6820069779033062,-0.0,-4.791825884698455,-0.0,-1.0933709918591128,-0.3414188403389267,-0.0,-0.40554909453397575,-0.0,-0.0,-1.6861604917760424,-0.23542116630669546,-5.187738827047683,-0.0,-0.0
2019-03-06,1.0,-0.0,-0.21700832799487507,-0.0,-1.6601537475976937,-0.0,-4.561338885329917,-0.0,-1.0366752081998718,-0.36883408071748874,-0.0,-0.3265534913516976,-0.0,-0.0,-1.6089045483664317,-0.26137091607943624,-4.9745355541319665,-0.0,-0.0
2019-03-07,1.0,-0.0,-0.28003220611916263,-0.0,-1.6838969404186794,-0.0,-4.605958132045089,-0.0,-1.0069243156199679,-0.33172302737520126,-0.0,-0.3235104669887279,-0.0,-0.0,-1.6170692431561995,-0.2466988727858293,-5.0070853462157805,-0.0,-0.0
2019-03-08,1.0,-0.0,-0.28731582319026266,-0.0,-1.6318065342729018,-0.0,-4.586322869955157,-0.0,-0.9990390775144138,-0.33856502242152464,-0.0,-0.34641255605381166,-0.0,-0.0,-1.528187059577194,-0.26505445227418317,-5.032351057014734,-0.0,-0.0
2019-03-11,1.0,-0.0,-0.2307322544464028,-0.0,-1.6809806120813973,-0.0,-4.640922929017786,-0.0,-1.0120173049190835,-0.3759012978689313,-0.0,-0.31549431180900495,-0.0,-0.0,-1.4286172087806441,-0.2837686268226246,-5.054959141163275,-0.0,-0.0
2019-03-12,1.0,-0.0,-0.16700674933291476,-0.0,-1.6556270601161514,-0.0,-4.623606969078637,-0.0,-0.9813216135614504,-0.3809449066080678,-0.0,-0.3175325694553445,-0.0,-0.0,-1.3230262125255061,-0.24344686862345,-5.003453147072673,-0.0,-0.0
2019-03-13,1.0,-0.0,-0.17318260323441673,-0.0,-1.6688648139425342,-0.0,-4.633380436489245,-0.0,-0.9802166745171927,-0.35735594284817085,-0.0,-0.3050714397864657,-0.0,-0.0,-1.37556916313393,-0.23849897943162193,-4.9687549065787415,-0.0,-0.0
2019-03-14,1.0,-0.0,-0.17902973395931143,-0.0,-1.669796557120501,-0.0,-4.587480438184664,-0.0,-0.9840375586854461,-0.36212832550860724,-0.0,-0.28513302034428795,-0.0,-0.0,-1.3702660406885758,-0.24710485133020343,-4.964788732394366,-0.0,-0.0
