Date,CLDR,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.9352996157441064,-0.0,-0.42787413023159204,-0.0,-2.5935195762799874,-0.0,-0.9018589677017343,-1.127116003738706,-0.0,-0.0,-0.0,-0.0,-0.6274794890435144,-0.0,-2.7717312285803306,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.9618084227910818,-0.0,-0.3324731626754749,-0.0,-2.4405450041288193,-0.0,-0.9247522708505368,-1.1912675474814203,-0.0,-0.0726672171758877,-0.0,-0.0,-0.6615400495458299,-0.0,-2.7372006606110655,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.977661645660416,-0.0,-0.3147863510605595,-0.0,-2.4295522082180554,-0.0,-0.8835946305973973,-1.2018649451788095,-0.0,-0.04734091607746695,-0.0,-0.0,-0.654575263859002,-0.0,-2.737473101752229,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.8151556686900333,-0.0,-0.5228118269042491,-0.0,-2.6921871940473863,-0.0,-0.6487174466418641,-1.0175249657333072,-0.0,-0.0,-0.0,-0.0,-0.5219306833757589,-0.0704914822792246,-2.5017622870569807,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.7987458357828728,-0.0,-0.5237115422300608,-0.0,-2.7052714089751126,-0.0,-0.6535371350186164,-1.0201842053693906,-0.0,-0.0,-0.0,-0.0,-0.5262590632961004,-0.05565353713501862,-2.5147952184989224,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.7263382467028704,-0.0,-0.4696470131885182,-0.0,-2.7924747866563226,-0.0,-0.6408068269976726,-0.9677075252133437,-0.0,-0.10492629945694336,-0.0,-0.0,-0.5396625290923196,-0.0,-2.4559736229635374,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.7418136020151133,-0.0,-0.4763611703158302,-0.0,-2.793935283859717,-0.0,-0.6335012594458438,-0.9596008525479558,-0.0,-0.11267196279790738,-0.0,-0.0,-0.5164696764192986,-0.0,-2.453691145126913,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.7262087490406754,-0.0,-0.46124328472755177,-0.0,-2.7672678434382196,-0.0,-0.5967958557175749,-0.9754412893323101,-0.0,-0.14562547966231773,-0.0,-0.0,-0.5259976976208749,-0.0,-2.3945702225633156,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.7174706899865463,-0.0,-0.4704016913319239,-0.0,-2.761195464155295,-0.0,-0.6063809340764944,-0.9872189121660581,-0.0,-0.13886219488756485,-0.0,-0.0,-0.5165289256198347,-0.0,-2.4115894676148377,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.5827934451219513,-0.0,-0.5512576219512195,-0.0,-2.752096036585366,-0.0,-0.5426829268292682,-0.9866615853658537,-0.0,-0.29249237804878053,-0.0,-0.0,-0.5650724085365854,-0.06507240853658537,-2.1892149390243905,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.5646681749622927,-0.0,-0.5713612368024132,-0.0,-2.7263386123680244,-0.0,-0.6688348416289593,-0.911293363499246,-0.0,-0.25037707390648567,-0.0,-0.0,-0.5368589743589745,-0.0736236802413273,-2.1234917043740573,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.5482745615689233,-0.0,-0.5796718838393362,-0.0,-2.7466528380162174,-0.0,-0.6749952856873468,-0.9361682066754667,-0.0,-0.19451254007165755,-0.0,-0.0,-0.5816518951536866,-0.0586460494059966,-2.1080520460116916,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.5409543490512869,-0.0,-0.5753334585759909,-0.0,-2.7503287619763293,-0.0,-0.6391132819838438,-0.9512492955100508,-0.0,-0.2026113094119857,-0.0,-0.0,-0.5782453503663347,-0.053729100131504795,-2.1016344166823218,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.5633147113594041,-0.0,-0.5038175046554935,-0.0,-2.7353817504655495,-0.0,-0.6236499068901303,-0.975512104283054,-0.0,-0.18007448789571695,-0.0,-0.0,-0.5324022346368715,-0.07374301675977654,-2.122905027932961,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.5617243631613325,-0.0,-0.4714938882149855,-0.0,-2.7957450779135953,-0.0,-0.6255481944574042,-0.9327237099934682,-0.0,-0.19604366893720257,-0.0,-0.0,-0.48203788373612017,-0.10189418680600913,-2.1637585145096576,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.5546795288006678,-0.0,-0.47787774788980614,-0.0,-2.7471477599480565,-0.0,-0.6608848900844077,-0.9429551989611353,-0.0,-0.18987106947407476,-0.0,-0.0,-0.4177720063073926,-0.14646136722010944,-2.1379278360077913,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.5688711622298488,-0.0,-0.4683239031629719,-0.0,-2.736573601706706,-0.0,-0.6531861608385121,-0.9487060569520452,-0.0,-0.1988683795566274,-0.0,-0.0,-0.38846118170856136,-0.1558297003988498,-2.156850013913366,-0.0,-0.0
2019-01-28,1.0,-0.0,-0.5689127815367504,-0.0,-0.45713226434331267,-0.0,-2.743442395031977,-0.0,-0.6636388914635276,-0.9462415423116137,-0.0,-0.19668180554268236,-0.0,-0.0,-0.37881175271109463,-0.16878301974233015,-2.1452405227546576,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.5682260305697082,-0.0,-0.4491894395553497,-0.0,-2.7418249189439554,-0.0,-0.6681797128300139,-0.9389532190829087,-0.0,-0.19601667438628995,-0.0,-0.0,-0.38721630384437233,-0.18378879110699398,-2.1302454840203797,-0.0,-0.0
2019-01-30,1.0,-0.0,-0.571799628942486,-0.0,-0.437291280148423,-0.0,-2.732282003710575,-0.0,-0.6175324675324675,-0.983395176252319,-0.0,-0.2211502782931354,-0.0,-0.0,-0.39916512059369197,-0.16020408163265307,-2.153525046382189,-0.0,-0.0
2019-01-31,1.0,-0.0,-0.542571877600074,-0.0,-0.5546824443006378,-0.0,-2.691689008042895,-0.0,-0.5868540260700749,-0.9576592400850513,-0.0,-0.24322825182582972,-0.0,-0.0,-0.39068133493574925,-0.15179809559027457,-2.1257280207081446,-0.0,-0.0
2019-02-01,1.0,-0.0,-0.5684018264840183,-0.0,-0.4763470319634703,-0.0,-2.8462100456621005,-0.0,-0.8121461187214611,-0.6447488584474885,-0.0,-0.3102283105022831,-0.0,-0.0,-0.2563470319634703,-0.24812785388127853,-1.9698630136986301,-0.0,-0.0
