Date,EXPO,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.5906449019971557,-0.0,-0.1465714462375564,-0.0,-0.5546280838434428,-0.0,-0.0,-0.18852408334879117,-0.0,-0.0,-0.0,-0.0,-0.22624126630804423,-0.0,-0.3849625919742781,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.5792946742615246,-0.0,-0.1620132598748716,-0.0,-0.5835590002178853,-0.0,-0.0,-0.1777009991595854,-0.0,-0.0,-0.0,-0.0,-0.2173561179070564,-0.0,-0.39272263205403557,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.5848096553007973,-0.0,-0.14997983307995408,-0.0,-0.5622847569110484,-0.0,-0.0,-0.17976482268623376,-0.0,-0.0,-0.0,-0.0,-0.22431820297229377,-0.0,-0.4014147870062983,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.5289648910411622,-0.0,-0.18913438256658593,-0.0,-0.6232445520581114,-0.0,-0.0,-0.13411016949152543,-0.0,-0.0,-0.0,-0.0,-0.19567191283292976,-0.0,-0.35550847457627116,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.4620007396449704,-0.0,-0.21976701183431951,-0.0,-0.6578217455621302,-0.0,-0.0,-0.1518121301775148,-0.0,-0.0,-0.0,-0.0,-0.2094119822485207,-0.0,-0.3810404339250493,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.4732817279480616,-0.0,-0.2269804607029153,-0.0,-0.6432361570634871,-0.0,-0.0,-0.16065297459267122,-0.0,-0.0,-0.0,-0.0,-0.20825269991884637,-0.0,-0.40888944378550474,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.48642237343155004,-0.0,-0.23415943567014172,-0.0,-0.6486984206255072,-0.0,-0.0,-0.1526936762594419,-0.0,-0.0,-0.0,-0.0,-0.18865097696485425,-0.0,-0.4106997939946314,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.4733166301284059,-0.0,-0.23081741309113687,-0.0,-0.6471969934231131,-0.0,-0.0,-0.16767929846539306,-0.0,-0.0,-0.0,-0.0,-0.2223614155966176,-0.0,-0.3904478546821172,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.47646045418950667,-0.0,-0.2276585747846515,-0.0,-0.6496789350039155,-0.0,-0.0,-0.1638527799530149,-0.0,-0.0,-0.0,-0.0,-0.2279091620986688,-0.0,-0.3867815191855913,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.46033923671738586,-0.0,-0.24594662010476429,-0.0,-0.6506610127213769,-0.0,-0.0,-0.1645672237465702,-0.0,-0.0,-0.0,-0.0,-0.23699800448989772,-0.0,-0.3594412571713644,-0.0,-0.0
