Date,HCA,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.16052406024243907,-0.0,-0.06575241826864209,-0.0,-0.6458001714215745,-0.0,-0.024825517325823433,-0.0,-0.04242683972082772,-0.0,-0.0,-0.0,-0.1150361209746541,-0.0,-0.31048732704787557,-0.6962470919554303,-0.0
2019-01-03,1.0,-0.0,-0.15734780209674454,-0.0,-0.07179204218012385,-0.0,-0.6478143584084359,-0.0,-0.024339402856967687,-0.0,-0.0383176997118509,-0.0,-0.0,-0.0,-0.11289927043099748,-0.0,-0.31254981300962537,-0.7003862424130954,-0.0
2019-01-04,1.0,-0.0,-0.16666666666666666,-0.0,-0.07224868694271407,-0.0,-0.6377183339440576,-0.0,-0.0020459264687919874,-0.0,-0.04827775742030048,-0.0,-0.0,-0.0,-0.11939660437278614,-0.0,-0.31531696592158304,-0.6919811896909736,-0.0
2019-01-07,1.0,-0.0,-0.11567197767575839,-0.0,-0.10156929816665165,-0.0,-0.6635760794550964,-0.0,-0.0,-0.0,-0.03894740000600114,-0.0,-0.0,-0.0,-0.09844870525399825,-0.0,-0.2903351636810994,-0.6897410507996519,-0.0022804332823236416
2019-01-08,1.0,-0.0,-0.11744765104697905,-0.0,-0.0987880242395152,-0.0,-0.6630767384652306,-0.0,-0.0,-0.0,-0.03968920621587568,-0.0,-0.0,-0.0,-0.0973180536389272,-0.0,-0.29051418971620563,-0.6882462350752985,-0.00488990220195596
2019-01-09,1.0,-0.0,-0.10630286004602371,-0.0,-0.09246585577239173,-0.0,-0.66809121066316,-0.0,-0.0,-0.0,-0.041062729745076354,-0.0,-0.0,-0.0,-0.09673948776187204,-0.0,-0.2825079943815188,-0.6945100265981292,-0.006843788290846059
2019-01-10,1.0,-0.0,-0.11628324408412362,-0.0,-0.096299398689682,-0.0,-0.6641936159392108,-0.0,-0.0,-0.0,-0.05528465013312591,-0.0,-0.0,-0.0,-0.06964429951835342,-0.0,-0.2903640769437879,-0.6994944206778951,-0.0
2019-01-11,1.0,-0.0,-0.11394334209897203,-0.0,-0.09508725794884056,-0.0,-0.6607398995935931,-0.0,-0.0,-0.0,-0.0556120009562515,-0.0,-0.0,-0.0,-0.07046378197465934,-0.0,-0.28857877121683007,-0.7014702366722448,-0.002390628735357399
2019-01-14,1.0,-0.0,-0.11205529457526704,-0.0,-0.10119386014781126,-0.0,-0.6609915921127435,-0.0,-0.0,-0.0,-0.05915442386523443,-0.0,-0.0,-0.0,-0.06331348553304808,-0.0,-0.295113850572993,-0.6965381047844169,-0.0037700846772987045
2019-01-15,1.0,-0.0,-0.07555542319375781,-0.0,-0.1525105723985943,-0.0,-0.6850914289117874,-0.0,-0.0,-0.0,-0.06665078325093811,-0.0,-0.0,-0.0,-0.09381142414676276,-0.0,-0.23015069390672463,-0.6711537316099827,-0.003246173089522902
2019-01-16,1.0,-0.0,-0.06915998812704068,-0.0,-0.16987236568714753,-0.0,-0.6850994360344316,-0.0,-0.0,-0.0,-0.06969427129712082,-0.0,-0.0,-0.0,-0.09002671415850401,-0.0,-0.2219946571682992,-0.6565746512318196,-0.005817750074205996
2019-01-17,1.0,-0.0,-0.08018545486967635,-0.0,-0.1777275834398312,-0.0,-0.6839242725948822,-0.0,-0.0,-0.0,-0.06811900020804232,-0.0,-0.0,-0.0,-0.08146342913186912,-0.0,-0.22789550331381697,-0.6526882040003567,-0.0
2019-01-18,1.0,-0.0,-0.0789333016570648,-0.0,-0.1760408623864109,-0.0,-0.6848904199085348,-0.0,-0.0,-0.0,-0.06767832749302133,-0.0,-0.0,-0.0,-0.08148720080774485,-0.0,-0.2271188454000119,-0.6529666805250341,-0.0005345370315376849
2019-01-22,1.0,-0.0,-0.10536443839185267,-0.0,-0.13020309076913966,-0.0,-0.6829593226360352,-0.0,-0.0,-0.0,-0.05604239445793119,-0.0,-0.0,-0.0,-0.06921664989046125,-0.0,-0.25563976552785833,-0.661081177097519,-0.0
2019-01-23,1.0,-0.0,-0.10400331390360092,-0.0,-0.12873923721040328,-0.0,-0.6860668106636684,-0.0,-0.0,-0.0,-0.054797763115069384,-0.0,-0.0,-0.0,-0.06648519099328343,-0.0,-0.25585111104535907,-0.6628990738822972,-0.0
2019-01-24,1.0,-0.0,-0.10388151476631093,-0.0,-0.13134478375262362,-0.0,-0.6812605315280692,-0.0,-0.0,-0.0,-0.05672983119992905,-0.0,-0.0,-0.0,-0.06290832766724805,-0.0,-0.25589026517279095,-0.664173589144766,-0.0
2019-01-25,1.0,-0.0,-0.09782062276369873,-0.0,-0.135050418428601,-0.0,-0.6811958482420084,-0.0,-0.0,-0.0,-0.05485406748085282,-0.0,-0.0,-0.0,-0.0705562291155336,-0.0,-0.24946033060295117,-0.6681550699352397,-0.0
2019-01-28,1.0,-0.0,-0.09664350140470206,-0.0,-0.13473310660949284,-0.0,-0.681117847109271,-0.0,-0.0,-0.0,-0.054325003696584356,-0.0,-0.0,-0.0,-0.0702351027650451,-0.0,-0.250539701315984,-0.6696732219429248,-0.0
2019-01-29,1.0,-0.0,-0.09721113181320795,-0.0,-0.1348297991896608,-0.0,-0.6834353650962648,-0.0,-0.0,-0.0,-0.05358885635702245,-0.0,-0.0,-0.0,-0.07381776239907728,-0.0,-0.2484843107680478,-0.6660751781859049,-0.0
2019-01-30,1.0,-0.0,-0.05134736971333865,-0.0,-0.20434595789086,-0.0,-0.7019519980357253,-0.0,-0.018292308636670553,-0.0,-0.057669879074335524,-0.0,-0.0,-0.0,-0.07326130992572585,-0.009759990178626235,-0.27527469154748024,-0.6772757964520287,-0.0
2019-01-31,1.0,-0.0,-0.041733006736068584,-0.0,-0.26227801592161665,-0.0,-0.6950704225352112,-0.0,-0.008297611757501532,-0.0,-0.049663196570728714,-0.0,-0.0,-0.0,-0.0698714023270055,-0.0031537048377219845,-0.2649724433557869,-0.6668095529699939,-0.0
2019-02-01,1.0,-0.0,-0.0,-0.0,-0.2493074792243767,-0.0,-0.7292015463760616,-0.0,-0.07354418434750845,-0.0,-0.04203829411585644,-0.0,-0.0,-0.0,-0.025235152658975375,-0.03050135460107759,-0.23910992055036373,-0.655139873976439,-0.0
2019-02-04,1.0,-0.0,-0.0,-0.0,-0.24942917161384603,-0.0,-0.7275245836758304,-0.0,-0.0742229122903157,-0.0,-0.04088653453892289,-0.0,-0.0,-0.0,-0.026121106950406432,-0.03132706183213079,-0.23919992693396658,-0.655737205833105,-0.0
2019-02-05,1.0,-0.0,-0.0,-0.0,-0.22284706812171323,-0.0,-0.6914916253761741,-0.0,-0.09022099279569566,-0.0,-0.0424354804389458,-0.0,-0.0,-0.0,-0.021004954859105696,-0.03547435936407575,-0.25342736419734324,-0.6828890172356142,-0.0
2019-02-06,1.0,-0.0,-0.0,-0.0,-0.22361136460424655,-0.0,-0.6934659609417778,-0.0,-0.09241345744357243,-0.0,-0.04206972075196204,-0.0,-0.0,-0.0,-0.019194500212934233,-0.03717223337592018,-0.2539392833242076,-0.6800511042160979,-0.0
