Date,INOV,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.020761741122565864,-0.0,-0.5609965635738832,-0.0,-1.556701030927835,-0.0,-0.3645475372279496,-0.2920962199312715,-0.0,-0.3443585337915235,-0.0,-0.0,-0.9527491408934708,-0.0,-2.067081901489118,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.042142603760198655,-0.0,-0.49372117772259666,-0.0,-1.4424263923377085,-0.0,-0.37758070237672936,-0.32954948563320324,-0.0,-0.38737140830081596,-0.0,-0.0,-0.9775097552323521,-0.0,-2.0443419652358994,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.05163426317272471,-0.0,-0.49570301493378416,-0.0,-1.4177233023386868,-0.0,-0.3442519019442096,-0.33805297266835727,-0.0,-0.37468300929839393,-0.0,-0.0,-0.981825866441251,-0.0,-2.040363482671175,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.0,-0.0,-0.6921370967741935,-0.0,-1.6298387096774196,-0.0,-0.14516129032258066,-0.17963709677419357,-0.0,-0.3166666666666667,-0.0,-0.0,-0.896975806451613,-0.0,-1.85994623655914,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.0,-0.0,-0.6892055383788144,-0.0,-1.6334856835596183,-0.0,-0.14504637720123673,-0.17824976475332704,-0.0,-0.3171125151230004,-0.0,-0.0,-0.8964242505713133,-0.0,-1.8618093829815838,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.0,-0.0,-0.6574986680873736,-0.0,-1.6443127330847098,-0.0,-0.1378529568460309,-0.15736547682472032,-0.0,-0.34096963239211514,-0.0,-0.0,-0.8903169952051146,-0.0,-1.8312466702184338,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.0,-0.0,-0.6933440042683741,-0.0,-1.6671335200746966,-0.0,-0.12518340669601175,-0.14979325063358678,-0.0,-0.3625450180072029,-0.0,-0.0,-0.8376684006936108,-0.0,-1.833666800053355,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.0,-0.0,-0.6804417044915657,-0.0,-1.6730573809362512,-0.0,-0.060158525845132454,-0.17783348011652328,-0.0,-0.43933337849739185,-0.0,-0.0,-0.9167400582616354,-0.0,-1.8270442381952443,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.0,-0.0,-0.6878573373264362,-0.0,-1.6661448407296489,-0.0,-0.07255649332970324,-0.19105635720119796,-0.0,-0.42798802069153286,-0.0,-0.0,-0.9027361829567111,-0.0,-1.8580860332153555,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.0,-0.0,-0.7375406283856988,-0.0,-1.6497833152762729,-0.0,-0.0,-0.1525595882990249,-0.0,-0.5386646803900325,-0.0,-0.0,-0.9855092091007583,-0.0,-1.707407908992416,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.0,-0.0,-0.7693494299128102,-0.0,-1.6258215962441314,-0.0,-0.10523138832997987,-0.0790073775989269,-0.0,-0.49912810194500334,-0.0,-0.0,-0.9718980549966465,-0.0,-1.6566063044936283,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.0,-0.0,-0.7654039557492457,-0.0,-1.6369426751592357,-0.0,-0.10948709353000335,-0.08997653369091518,-0.0,-0.46134763660744216,-0.0,-0.0,-0.999262487428763,-0.0,-1.6421723097552798,-0.0,-0.0
2019-01-18,1.0,-0.0,-0.0,-0.0,-0.7636023766606582,-0.0,-1.628746912343948,-0.0,-0.07123305961679685,-0.10367848320982709,-0.0,-0.4721276453701849,-0.0,-0.0,-1.0006676013084985,-0.0,-1.6359570064757325,-0.0,-0.0
2019-01-22,1.0,-0.0,-0.0,-0.0,-0.6702800969566388,-0.0,-1.6356046323727442,-0.0,-0.05548074333423108,-0.18037974683544303,-0.0,-0.4550228925397253,-0.0,-0.0,-0.9672098033934823,-0.0,-1.7691220037705357,-0.0,-0.0
2019-01-23,1.0,-0.0,-0.0,-0.0,-0.6526209677419356,-0.0,-1.6690188172043012,-0.0,-0.053091397849462374,-0.15920698924731183,-0.0,-0.46149193548387096,-0.0,-0.0,-0.9402553763440862,-0.0,-1.784744623655914,-0.0,-0.0
2019-01-24,1.0,-0.0,-0.0,-0.0,-0.6877176533619073,-0.0,-1.6192070720600051,-0.0,-0.09261987677471202,-0.17559603536030002,-0.0,-0.4507098848111438,-0.0,-0.0,-0.8775783552102865,-0.0,-1.7935976426466649,-0.0,-0.0
2019-01-25,1.0,-0.0,-0.0,-0.0,-0.6890497252379038,-0.0,-1.6225707009784212,-0.0,-0.09717196086315508,-0.1695483179198499,-0.0,-0.44457847473529016,-0.0,-0.0,-0.8961265245945584,-0.0,-1.7825358531028013,-0.0,-0.0
2019-01-28,1.0,-0.0,-0.0,-0.0,-0.6754221388367729,-0.0,-1.637697668185473,-0.0,-0.12711069418386492,-0.16584025730367194,-0.0,-0.4397614580541409,-0.0,-0.0,-0.8894398284642187,-0.0,-1.7653444116858752,-0.0,-0.0
2019-01-29,1.0,-0.0,-0.0,-0.0,-0.6801127592455869,-0.0,-1.6387005839318074,-0.0,-0.12443788173702933,-0.17175649372441104,-0.0,-0.4415061413517686,-0.0,-0.0,-0.878045506409826,-0.0,-1.777233371367206,-0.0,-0.0
2019-01-30,1.0,-0.0,-0.0,-0.0,-0.6515100101798439,-0.0,-1.6354937224295893,-0.0,-0.054021038344078724,-0.24058364438411944,-0.0,-0.4872073294876145,-0.0,-0.0,-0.8939260264675941,-0.0,-1.8238208347472002,-0.0,-0.0
2019-01-31,1.0,-0.0,-0.0,-0.0,-0.6884649093238051,-0.0,-1.6113395806647342,-0.0,-0.037753657385559226,-0.22787028921998245,-0.0,-0.49066271152160723,-0.0,-0.0,-0.88363783455808,-0.0,-1.801928133216477,-0.0,-0.0
2019-02-01,1.0,-0.0,-0.0,-0.0,-0.6275700934579439,-0.0,-1.7858477970627504,-0.0,-0.2286381842456609,-0.0,-0.0,-0.5392523364485982,-0.0,-0.0,-0.785113484646195,-0.0,-1.7091455273698264,-0.0,-0.0
2019-02-04,1.0,-0.0,-0.0,-0.0,-0.6330343292641801,-0.0,-1.781007621231537,-0.0,-0.23673028933702028,-0.0,-0.0,-0.5353746543467998,-0.0,-0.0,-0.8181021110136912,-0.0,-1.7401362379442908,-0.0,-0.0
2019-02-05,1.0,-0.0,-0.0,-0.0,-0.6231815732758621,-0.0,-1.7728313577586208,-0.0,-0.24454471982758622,-0.0,-0.0,-0.5356950431034483,-0.0,-0.0,-0.8147898706896552,-0.0,-1.7438712284482758,-0.0,-0.0
2019-02-06,1.0,-0.0,-0.0,-0.0,-0.6174094519994614,-0.0,-1.7706341726134376,-0.0,-0.23589605493469773,-0.0,-0.0,-0.5461828463713477,-0.0,-0.0,-0.8195098963242224,-0.0,-1.7425609263498048,-0.0,-0.0
2019-02-07,1.0,-0.0,-0.0,-0.0,-0.6241637948510034,-0.0,-1.7740387864044866,-0.0,-0.24515169943915127,-0.0,-0.0,-0.5426042300155415,-0.0,-0.0,-0.8184336779512129,-0.0,-1.7528211365632813,-0.0,-0.0
2019-02-08,1.0,-0.0,-0.0,-0.0,-0.6027156657434304,-0.0,-1.7782881848273997,-0.0,-0.2571100452610957,-0.0,-0.0,-0.5469837195163143,-0.0,-0.0,-0.8308450989664258,-0.0,-1.7395122610281701,-0.0,-0.0
2019-02-11,1.0,-0.0,-0.0,-0.0,-0.6219322561016835,-0.0,-1.7514028801298085,-0.0,-0.25501994456088156,-0.0,-0.0,-0.5662227029950645,-0.0,-0.0,-0.8195524305320802,-0.0,-1.7468054898248933,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.0,-0.0,-0.6181719848566792,-0.0,-1.7536506219578152,-0.0,-0.2559491617090319,-0.0,-0.0,-0.5659140075716604,-0.0,-0.0,-0.8190914007571661,-0.0,-1.7476338561384535,-0.0,-0.0
