Date,INS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.5281967213114753,-4.86967213114754,-0.518360655737705,-3.8642622950819674,-3.612950819672131,0.0
2018-09-25,1.0,-2.5284472864404,-4.87063453025086,-0.5184456468273487,-3.8648958845712413,-3.6137071651090342,0.0
2018-09-26,1.0,-2.5285339455559197,-4.87094129222696,-0.5177107248278124,-3.866021646441456,-3.615775664152181,0.0
2018-09-27,1.0,-2.5208095315815244,-4.835971927533866,-0.5191774114574833,-3.8473967684021546,-3.59800881344867,0.0
2018-09-28,1.0,-2.515492498369211,-4.833659491193738,-0.520874103065884,-3.8431180691454667,-3.5945857795172866,0.0
2018-10-01,1.0,-2.545319953939793,-4.869879914459616,-0.524592860667873,-3.8828754729396286,-3.6275703240664585,0.0
2018-10-02,1.0,-2.5538537549407114,-4.833498023715414,-0.5418313570487483,-3.897068511198946,-3.6426218708827403,0.0
2018-10-03,1.0,-2.543560295324036,-4.7991796554552915,-0.5388022969647253,-3.887284659557014,-3.6382280557834292,0.0
2018-10-04,1.0,-2.545142296368989,-4.766928361138371,-0.5405626431141642,-3.886490022898266,-3.6167811579980373,0.0
2018-10-05,1.0,-2.4833713726768827,-4.741115096185197,-0.46380828170850996,-3.9372350831431366,-3.676882947505706,0.0
2018-10-08,1.0,-2.460343153123988,-4.70055033991583,-0.4425380382000647,-3.9289414049854323,-3.6540951764325023,0.0
2018-10-09,1.0,-2.4560466245750368,-4.703254006799417,-0.4303059737736765,-3.935891209324915,-3.663590739841347,0.0
2018-10-10,1.0,-2.4539431157078218,-4.692954104718811,-0.4313186813186813,-3.9305106658047837,-3.6514221073044606,0.0
2018-10-11,1.0,-2.0807001928497257,-4.456608811748999,-0.055333036641447855,-3.6834297581961133,-3.5583741284675865,0.0
2018-10-12,1.0,-2.011384399156711,-4.242726633872102,-0.024455375966268445,-3.4552354181307097,-3.3211524947294446,0.0
2018-10-15,1.0,-2.0614771595275365,-4.2449124804326175,-0.09264266401024619,-3.4827095488828803,-3.349082111854276,0.0
2018-10-16,1.0,-2.0962258715067708,-4.271535580524345,-0.11480841256122155,-3.528522039757995,-3.3939786804955347,0.0
2018-10-17,1.0,-2.018830525272547,-4.108735664731701,-0.013167209401104347,-3.545943650007079,-3.4718957949879656,0.0
2018-10-18,1.0,-2.0281027104136946,-4.132667617689016,-0.015406562054208275,-3.5867332382310986,-3.5024251069900143,0.0
2018-10-19,1.0,-1.9308999721370856,-4.015324602953469,-0.0,-3.539286709389802,-3.44608526051825,0.0
2018-10-22,1.0,-1.9294559621538887,-3.9858077083623207,-0.0,-3.5462640879365517,-3.4524836510365935,0.0
2018-10-23,1.0,-1.9379607734038116,-3.9852552510780357,-0.0,-3.538878842676312,-3.4479065238558912,0.0
2018-10-24,1.0,-1.9243348115299337,-3.96660199556541,-0.0,-3.528409090909091,-3.4387472283813745,0.0
2018-10-25,1.0,-1.7374115132897021,-3.7478295712568452,-0.0,-3.5719246694270064,-3.2993188192867633,0.0
2018-10-26,1.0,-1.6449485623845952,-3.6875494592455818,-0.0,-3.597599577947771,-3.259034555526246,0.0
2018-10-29,1.0,-1.5469196776709124,-3.681050168962829,-0.0,-3.526384195476995,-3.242786586950871,0.0
2018-10-30,1.0,-1.5097529258777633,-3.6855656697009107,-0.0,-3.531209362808843,-3.277243172951886,0.0
