Date,IWF,IWM,JLL,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.580771699593467,1.0,-0.0,-0.2655659368090721,-0.0,-0.0,-0.0,-0.2882105413308609,-0.22316525212181726,-0.0,-0.0,-0.0,-0.0,-0.26485272091862205,-0.327294772127523,-0.6162185293488339,-0.0,-0.0
2019-01-03,-0.0,-0.6004507405022537,1.0,-0.0,-0.21864491664878014,-0.0,-0.0,-0.0,-0.30099449094941694,-0.25166344709165056,-0.0,-0.0,-0.0,-0.0,-0.3109036273878515,-0.2652929813264649,-0.6293553695356657,-0.0,-0.0
2019-01-04,-0.0,-0.599539069359087,1.0,-0.0,-0.23276997366110627,-0.0,-0.0,-0.0,-0.3537093942054434,-0.25245098039215685,-0.0,-0.0,-0.0,-0.0,-0.3291630084869769,-0.21725929177641207,-0.67328797190518,-0.0,-0.0
2019-01-07,-0.0,-0.5657287003481846,1.0,-0.0,-0.2874298301712499,-0.0,-0.0,-0.0,-0.3150714133447026,-0.22312229091167482,-0.0,-0.0,-0.0,-0.0,-0.2892418105592269,-0.26959425850920204,-0.6027499467064592,-0.0,-0.0
2019-01-08,-0.0,-0.5402593701011829,1.0,-0.0,-0.29816873307681346,-0.0,-0.0,-0.0,-0.3238919766281887,-0.230190964799772,-0.0,-0.0,-0.0,-0.0,-0.30059142083511475,-0.25014251104460594,-0.6195311386632464,-0.0,-0.0
2019-01-09,-0.0,-0.5415033843961524,1.0,-0.0,-0.29704310651941573,-0.0,-0.0,-0.0,-0.3237976487353046,-0.2297826861417884,-0.0,-0.0,-0.0,-0.0,-0.30024937655860345,-0.24973281083006768,-0.6204488778054863,-0.0,-0.0
2019-01-10,-0.0,-0.5447649572649572,1.0,-0.0,-0.29932336182336183,-0.0,-0.0,-0.0,-0.3226851851851852,-0.22834757834757835,-0.0,-0.0,-0.0,-0.0,-0.29586894586894585,-0.24992877492877497,-0.6203347578347579,-0.0,-0.0
2019-01-11,-0.0,-0.5430498846085567,1.0,-0.0,-0.3026451269305876,-0.0,-0.0,-0.0,-0.3153559382211965,-0.23220308894017397,-0.0,-0.0,-0.0,-0.0,-0.30356825847683294,-0.24047576779691104,-0.6132078821232025,-0.0,-0.0
2019-01-14,-0.0,-0.5567054304918383,1.0,-0.0,-0.29716561755396703,-0.0,-0.0,-0.0,-0.3102884170845336,-0.22152281375582347,-0.0,-0.0,-0.0,-0.0,-0.32305558519150757,-0.24570575056011948,-0.6018350581457378,-0.0,-0.0
2019-01-15,-0.0,-0.5213343677269201,1.0,-0.0,-0.33842301995909446,-0.0,-0.0,-0.0,-0.30287749488680443,-0.22406375625925665,-0.0,-0.0,-0.0,-0.0,-0.33577826362931096,-0.2754425558925171,-0.5283870512730093,-0.0,-0.0
2019-01-16,-0.0,-0.5117911285794498,1.0,-0.0,-0.34162689500280746,-0.0,-0.0,-0.0,-0.3394160583941606,-0.1988349241998877,-0.0,-0.0,-0.0,-0.0,-0.3258001122964627,-0.28123245367770916,-0.5105628860190904,-0.0,-0.0
2019-01-17,-0.0,-0.5222050453235895,1.0,-0.0,-0.34551331600028107,-0.0,-0.0,-0.0012297097884899164,-0.3414728409809571,-0.18983205677745768,-0.0,-0.0,-0.0,-0.0,-0.3112571147494906,-0.28592509310659825,-0.5159862272503689,-0.0,-0.0
2019-01-18,-0.0,-0.5239887442842068,1.0,-0.0,-0.3442842068237777,-0.0,-0.0,-0.0,-0.34713330988392543,-0.1872669715089694,-0.0,-0.0,-0.0,-0.0,-0.3109743228983468,-0.2861413999296518,-0.5176574041505452,-0.0,-0.0
