Date,IWF,IWM,LNTH,MTUM,SPY,VLUE,VXX
2018-09-24,-1.1516915814319435,-2.2642014162077104,1.0,-0.1982690794649882,-1.6957513768686074,-1.5579071597167584,0.0
2018-09-25,-1.152165338802556,-2.273014120059951,1.0,-0.1940522205569141,-1.702926559911651,-1.5661434093239726,0.0
2018-09-26,-1.152165338802556,-2.273250769109411,1.0,-0.19389445452394102,-1.702926559911651,-1.565906760274513,0.0
2018-09-27,-1.1556763570471913,-2.259591901047822,1.0,-0.19719530449854253,-1.7017253604348854,-1.5642480107145673,0.0
2018-09-28,-1.15201450760861,-2.265236931325396,1.0,-0.19884885279508002,-1.7027517148939526,-1.5657178900890958,0.0
2018-10-01,-1.1529402466013279,-2.273395510591211,1.0,-0.20147012330066394,-1.7056591843186848,-1.5704236484350302,0.0
2018-10-02,-1.1548127074442864,-2.2567567567567566,1.0,-0.2081555239449976,-1.7088667614983402,-1.5741267583372844,0.0
2018-10-03,-1.1544053733702093,-2.2397471355195577,1.0,-0.20616357171078625,-1.715764519952588,-1.585855393125247,0.0
2018-10-04,-1.154485049833887,-2.243474133839582,1.0,-0.20787850023730423,-1.71531403258978,-1.5889099825976902,0.0
2018-10-05,-1.1315148180174517,-2.2330791604433613,1.0,-0.17726593821240472,-1.7222702617718735,-1.5968870371826114,0.0
2018-10-08,-1.1280401694649302,-2.229719127569434,1.0,-0.1718186097599247,-1.7217950729640672,-1.594147183430096,0.0
2018-10-09,-1.1265395779399074,-2.2304856044559505,1.0,-0.16764728955832744,-1.7236996940456577,-1.596689417117753,0.0
2018-10-10,-1.1306019935640845,-2.228788949062083,1.0,-0.1716505768777961,-1.7266305627501766,-1.5910054155874735,0.0
2018-10-11,-1.0083072936513986,-2.248990168432284,1.0,-0.0,-1.715341818458959,-1.6486548281380995,0.0
2018-10-12,-1.0129012901290129,-2.2302730273027302,1.0,-0.0,-1.6664416441644165,-1.5911341134113413,0.0
2018-10-15,-0.9512066761897602,-2.3057664837230285,1.0,-0.0,-1.6606270205247726,-1.6006315314638,0.0
2018-10-16,-0.9421860885275518,-2.32618187292984,1.0,-0.0,-1.6596657633242997,-1.5998193315266482,0.0
2018-10-17,-0.8836628206070405,-2.2281913720878963,1.0,-0.0,-1.6347468214889396,-1.6025575071654297,0.0
2018-10-18,-0.8825863335782513,-2.2267450404114624,1.0,-0.0,-1.6357825128581924,-1.6024246877296107,0.0
2018-10-19,-0.8428467153284671,-2.2051824817518244,1.0,-0.0,-1.6451824817518248,-1.6059854014598538,0.0
2018-10-22,-0.8427539931441907,-2.1926919991247904,1.0,-0.0,-1.6486762453504484,-1.6092188753555539,0.0
2018-10-23,-0.8438935472110828,-2.1922712358731316,1.0,-0.0,-1.6470288005833031,-1.6080933284724754,0.0
2018-10-24,-0.8389281293235272,-2.1853200320396122,1.0,-0.0,-1.6472001747615233,-1.6102818029563823,0.0
2018-10-25,-0.7495749504108813,-2.0939359591952393,1.0,-0.0,-1.6876593935959194,-1.5529895154434683,0.0
2018-10-26,-0.7053646269907795,-2.0585359038837665,1.0,-0.0,-1.6930706901369097,-1.528290025146689,0.0
