Date,IWF,IWM,MTH,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.47151483328957733,1.0,-0.0,-0.319593944167323,-0.0,-0.41953268574428987,-0.0,-0.5948630436685044,-0.10125142207053471,-0.0,-0.0,-0.0,-0.0,-0.28546425133455855,-0.4373413844403605,-0.7460400805110704,-0.0,-0.0
2019-01-03,-0.0,-0.5181798002219756,1.0,-0.0,-0.2492785793562708,-0.0,-0.29798002219755826,-0.0,-0.620599334073252,-0.17456159822419534,-0.0,-0.04781354051054384,-0.0,-0.0,-0.3889900110987791,-0.3243951165371809,-0.8177136514983351,-0.0,-0.0
2019-01-04,-0.0,-0.5397041993133198,1.0,-0.0,-0.2490536138744608,-0.0,-0.24306717140593362,-0.0,-0.578351967602782,-0.18734043489743815,-0.0,-0.03138480500044018,-0.0,-0.0,-0.3935205563870059,-0.3682982656924025,-0.8110309006074479,-0.0,-0.0
2019-01-07,-0.0,-0.46805199175535267,1.0,-0.0,-0.3376940226307155,-0.0,-0.32806124595128927,-0.0,-0.501493290707946,-0.11681319143566231,-0.0,-0.01577419761914777,-0.0,-0.0,-0.30921633786228075,-0.4652757329743827,-0.664072687502629,-0.0,-0.0
2019-01-08,-0.0,-0.5438872807764346,1.0,-0.0,-0.3271326408990295,-0.0,-0.3303677847777967,-0.0,-0.4865911799761621,-0.10501447301208923,-0.0,-0.0,-0.0,-0.0,-0.29891026732504683,-0.5071513706793802,-0.657713264089903,-0.0,-0.0
2019-01-09,-0.0,-0.5262069547602971,1.0,-0.0,-0.3103899392302498,-0.0,-0.35575624577987847,-0.0,-0.4852717758271438,-0.08984638757596218,-0.0,-0.02072079675894666,-0.0,-0.0,-0.30330013504388925,-0.4940918298446995,-0.6344952734638758,-0.0,-0.0
2019-01-10,-0.0,-0.5571186440677967,1.0,-0.0,-0.3306779661016949,-0.0,-0.3721186440677966,-0.0,-0.4701271186440678,-0.07271186440677967,-0.0,-0.03707627118644068,-0.0,-0.0,-0.25783898305084746,-0.4943220338983051,-0.6452542372881356,-0.0,-0.0
2019-01-11,-0.0,-0.5442763661086089,1.0,-0.0,-0.34690235404096204,-0.0,-0.37392708421857734,-0.0,-0.42789156114557664,-0.09501147276281126,-0.0,-0.07091867085918246,-0.0,-0.0,-0.30687515934392795,-0.4415314013767316,-0.6417948500042492,-0.0,-0.0
2019-01-14,-0.0,-0.5375149037642651,1.0,-0.0,-0.3553483222619656,-0.0,-0.37178504513711463,-0.0,-0.4331459717254301,-0.1037727814682337,-0.0,-0.06570430931698178,-0.0,-0.0,-0.29960824391074775,-0.43638221768012264,-0.6550417305399421,-0.0,-0.0
2019-01-15,-0.0,-0.5170925706549332,1.0,-0.0,-0.3658402436960569,-0.0,-0.36524792689118296,-0.0,-0.42511423252665426,-0.10340159079370452,-0.0,-0.08436283635132849,-0.0,-0.0,-0.29950076155017774,-0.45392621424945,-0.6163479438145203,-0.0,-0.0
2019-01-16,-0.0,-0.5070960698689956,1.0,-0.0,-0.3833137386630836,-0.0,-0.3503946926436009,-0.0,-0.49416358750419886,-0.0641165602955996,-0.0,-0.06201713134027544,-0.0,-0.0,-0.2894272757809876,-0.46246221027880413,-0.5858246556936513,-0.0,-0.0
2019-01-17,-0.0,-0.4731488153265799,1.0,-0.0,-0.39507481032509645,-0.0,-0.4015173992285847,-0.0,-0.49913109820709534,-0.09909718984444539,-0.0,-0.0,-0.0,-0.0,-0.3634128767007163,-0.4330521764930276,-0.5740685796634595,-0.0,-0.0
2019-01-18,-0.0,-0.4702277817690064,1.0,-0.0,-0.401935511135528,-0.0,-0.3980053247686261,-0.0,-0.47441152854667623,-0.11182014114862866,-0.0,-0.0,-0.0,-0.0,-0.367535815408021,-0.4307146177576807,-0.5713561255969234,-0.0,-0.0
2019-01-22,-0.0,-0.5011175304685194,1.0,-0.0,-0.31645089191582676,-0.0,-0.37270695399148146,-0.0,-0.4651878716315945,-0.13853160713532658,-0.0,-0.0,-0.0,-0.0,-0.3388436722472905,-0.4583561759372496,-0.6259014042930038,-0.0,-0.0
2019-01-23,-0.0,-0.5012054307828956,1.0,-0.0,-0.322082646026308,-0.0,-0.3680581990441145,-0.0,-0.4650002114790847,-0.1438903692424819,-0.0,-0.0,-0.0,-0.0,-0.34843293998223573,-0.45328427018567863,-0.627585331810684,-0.0,-0.0
2019-01-24,-0.0,-0.5029492892000849,1.0,-0.0,-0.32123912582219394,-0.0,-0.37924888605983453,-0.0,-0.45894334818586885,-0.14215998302567368,-0.0,-0.0,-0.0,-0.0,-0.36151071504349674,-0.44434542754084444,-0.6331848079779334,-0.0,-0.0
2019-01-25,-0.0,-0.5367152227617344,1.0,-0.0,-0.30726637703381887,-0.0,-0.36532072578584207,-0.0,-0.44956981003492635,-0.1546128290314337,-0.0,-0.0,-0.0,-0.0,-0.3066274810460857,-0.4600051111679019,-0.6791890280262374,-0.0,-0.0
2019-01-28,-0.0,-0.5320197044334974,1.0,-0.0,-0.38223113474868126,-0.0,-0.389336937094032,-0.0,-0.3876367757966781,-0.1723266053446096,-0.0,-0.0005231265530319543,-0.0,-0.0,-0.35681590304721217,-0.36104450935088717,-0.7774096516849034,-0.0,-0.0
2019-01-29,-0.0,-0.5319260293091417,1.0,-0.0,-0.385162247034194,-0.0,-0.38991625959525467,-0.0,-0.3862526168876483,-0.17437194696441033,-0.0,-0.0007414515003489184,-0.0,-0.0,-0.35441381716678294,-0.35694347522679687,-0.781751570132589,-0.0,-0.0
2019-01-30,-0.0,-0.5254721124286341,1.0,-0.0,-0.3934563021519543,-0.0,-0.4049187527448397,-0.0,-0.4162933684672815,-0.14769433465085638,-0.0,-0.0,-0.0,-0.0,-0.35155906895037325,-0.3718050065876153,-0.7805884936319719,-0.0,-0.0
2019-01-31,-0.0,-0.5165363274935558,1.0,-0.0,-0.4465900650967714,-0.0,-0.37887194722355716,-0.0,-0.40504172309843156,-0.14094106339289614,-0.0,-0.0,-0.0,-0.0,-0.3460614268862772,-0.36926034339639124,-0.7656079339420683,-0.0,-0.0
2019-02-01,-0.0,-0.476226593979616,1.0,-0.0,-0.5611282294382556,-0.0,-0.30765584261673384,-0.0,-0.24053093150035554,-0.3858260251244371,-0.0,-0.0,-0.0,-0.0,-0.49793789997629767,-0.2733349134866082,-0.9978193884806826,-0.0,-0.0
2019-02-04,-0.0,-0.4760595429980089,1.0,-0.0,-0.5622925950507254,-0.0,-0.3117474163269176,-0.0,-0.24068455484972032,-0.38427989001611834,-0.0,-0.0,-0.0,-0.0,-0.49687114819379924,-0.27202047975727695,-0.9967763345027023,-0.0,-0.0
2019-02-05,-0.0,-0.432419547079857,1.0,-0.0,-0.554326579261025,-0.0,-0.3066507747318236,-0.0,-0.29325387365911804,-0.3922288438617402,-0.0,-0.0,-0.0,-0.0,-0.48748510131108463,-0.27432657926102505,-1.0268891537544695,-0.0,-0.0
2019-02-06,-0.0,-0.4293890399198741,1.0,-0.0,-0.5554442695664615,-0.0,-0.30590928602089,-0.0,-0.2949396670959126,-0.39462011732722846,-0.0,-0.0,-0.0,-0.0,-0.4854294844279105,-0.27590976296084324,-1.0277102112843994,-0.0,-0.0
2019-02-07,-0.0,-0.389431829069656,1.0,-0.0,-0.5649132892593657,-0.0,-0.2932835105873335,-0.0,-0.30573919708728564,-0.4353262431733257,-0.0,-0.0,-0.0,-0.0,-0.470633323752036,-0.29539139599501774,-1.0359777713902463,-0.0,-0.0
2019-02-08,-0.0,-0.389378412029499,1.0,-0.0,-0.5560291159850589,-0.0,-0.2959965520544009,-0.0,-0.3121348529834307,-0.43544679628388083,-0.0,-0.0,-0.0,-0.0,-0.4780193468058615,-0.2922133895220764,-1.0296427545254285,-0.0,-0.0
2019-02-11,-0.0,-0.38805037492789846,1.0,-0.0,-0.5880119207844645,-0.0,-0.28552201499711594,-0.0,-0.3189290521053644,-0.422226494904826,-0.0,-0.004758700249951932,-0.0,-0.0,-0.4639011728513747,-0.30724860603730053,-1.0281195923860795,-0.0,-0.0
2019-02-12,-0.0,-0.3590508735621119,1.0,-0.0,-0.5830966934591134,-0.0,-0.2979737209414256,-0.0,-0.3235789575010829,-0.44366366655436296,-0.0,-0.0065456995716417195,-0.0,-0.0,-0.457717668575829,-0.30634836598161425,-1.0350387447658467,-0.0,-0.0
2019-02-13,-0.0,-0.35614422369389254,1.0,-0.0,-0.6105960264900662,-0.0,-0.29997547216090265,-0.0,-0.3617365710080942,-0.4399313220505273,-0.0,-0.012460142261466765,-0.0,-0.0,-0.48942850134903115,-0.2548933038999264,-1.0803532008830021,-0.0,-0.0
2019-02-14,-0.0,-0.35810944290794156,1.0,-0.0,-0.5884037929672067,-0.0,-0.30733899644409324,-0.0,-0.3721849071513236,-0.4459699723429475,-0.0,-0.015557092058474912,-0.0,-0.0,-0.49787633346503357,-0.23508494666139867,-1.1183326748320823,-0.0,-0.0
2019-02-15,-0.0,-0.3657478179397406,1.0,-0.0,-0.5828196656639874,-0.0,-0.3064746782385719,-0.0,-0.3723063267419498,-0.4488387001331427,-0.0,-0.007939247497411116,-0.0,-0.0,-0.48493515459342174,-0.24266482568173972,-1.1194832092312244,-0.0,-0.0
2019-02-19,-0.0,-0.35062831337129385,1.0,-0.0,-0.5812880424111525,-0.0,-0.2941782839191046,-0.0,-0.3727174553308462,-0.4661299823286864,-0.0,-0.0,-0.0,-0.0,-0.47594737875515414,-0.24602395444728056,-1.1217357156881995,-0.0,-0.0
2019-02-20,-0.0,-0.3513606444640927,1.0,-0.0,-0.580754494547598,-0.0,-0.2930052067983102,-0.0,-0.37439827094999506,-0.4657628450731899,-0.0,-0.0,-0.0,-0.0,-0.47779742607328807,-0.24471952058158955,-1.1242754691030552,-0.0,-0.0
2019-02-21,-0.0,-0.34826753413179556,1.0,-0.0,-0.6086056483808961,-0.0,-0.3337276356646459,-0.0,-0.30543644339297155,-0.47543003598008776,-0.0,-0.0,-0.0,-0.0,-0.49248361180935485,-0.2700478091576717,-1.0947311350978364,-0.0,-0.0
2019-02-22,-0.0,-0.35593555401798954,1.0,-0.0,-0.603983394286844,-0.0,-0.34437086092715236,-0.0,-0.30349906098645846,-0.4649599683700702,-0.0,-0.0,-0.0,-0.0,-0.4926361569635268,-0.27671246416922013,-1.1000790748245528,-0.0,-0.0
2019-02-25,-0.0,-0.3482574785270017,1.0,-0.0,-0.5915193997433112,-0.0,-0.33971764241287394,-0.0,-0.3190344555237437,-0.4717148780728601,-0.0,-0.0,-0.0,-0.0,-0.4928423338927831,-0.25491163984598675,-1.1183236252344753,-0.0,-0.0
2019-02-26,-0.0,-0.3351599526066351,1.0,-0.0,-0.5977488151658767,-0.0,-0.339010663507109,-0.0,-0.3299763033175355,-0.4748716429699842,-0.0,-0.0,-0.0,-0.0,-0.4888921800947868,-0.2570102685624013,-1.1141390205371249,-0.0,-0.0
2019-02-27,-0.0,-0.32752043596730246,1.0,-0.0,-0.6080257617042358,-0.0,-0.3115184542977459,-0.0,-0.34486004458756503,-0.4889769630914045,-0.0,-0.0,-0.0,-0.0,-0.4831805796383453,-0.24909586326480057,-1.1410453306911073,-0.0,-0.0
2019-02-28,-0.0,-0.3184855233853007,1.0,-0.0,-0.604404850284583,-0.0,-0.29962880475129916,-0.0,-0.3507547636723583,-0.4979955456570156,-0.0,-0.0,-0.0,-0.0,-0.4825538233110616,-0.26364761197723335,-1.1317495669388766,-0.0,-0.0
2019-03-01,-0.0,-0.31258086991141637,1.0,-0.0,-0.6339703394047974,-0.0,-0.2727679904449089,-0.0,-0.38215387677913804,-0.4837264855180651,-0.0,-0.0,-0.0,-0.0,-0.48382601771673134,-0.2627650044789489,-1.1448691151587538,-0.0,-0.0
2019-03-04,-0.0,-0.2821050529259037,1.0,-0.0,-0.6445476333133613,-0.0,-0.27331735570201715,-0.0,-0.4029858198522069,-0.4805272618334332,-0.0,-0.0,-0.0,-0.0,-0.49705412422608347,-0.27231875374475734,-1.140103854603555,-0.0,-0.0
2019-03-05,-0.0,-0.23223561450400929,1.0,-0.0,-0.6379040798829996,-0.0,-0.23036966059811387,-0.0,-0.4623026879822482,-0.5072873064703213,-0.0,-0.0,-0.0,-0.0,-0.48681224469211765,-0.30833627515255435,-1.1778707952998133,-0.0,-0.0
2019-03-06,-0.0,-0.25486979700635637,1.0,-0.0,-0.6773118720524912,-0.0,-0.2389276194381792,-0.0,-0.4729854418700021,-0.47724010662292393,-0.0,-0.0,-0.0,-0.0,-0.49882099651425055,-0.29013737953660035,-1.215860159934386,-0.0,-0.0
2019-03-07,-0.0,-0.2707970940345851,1.0,-0.0,-0.671953340837,-0.0,-0.2325795559193697,-0.0,-0.4685357617926941,-0.4611685255295201,-0.0,-0.0,-0.0,-0.0,-0.5124833725570449,-0.2861455029161977,-1.2125243016473959,-0.0,-0.0
2019-03-08,-0.0,-0.27757438250915284,1.0,-0.0,-0.6350229464239674,-0.0,-0.25880472335378746,-0.0,-0.48110142835043573,-0.45928943433197544,-0.0,-0.0,-0.0,-0.0,-0.48455628319496724,-0.2968596916413139,-1.2632908781519105,-0.0,-0.0
2019-03-11,-0.0,-0.249729227912734,1.0,-0.0,-0.6541853628345969,-0.0,-0.2812935169425963,-0.0,-0.4826963742328124,-0.4734643354479344,-0.0,-0.0,-0.0,-0.0,-0.4395275671772655,-0.30486358244365364,-1.2718035999793698,-0.0,-0.0
2019-03-12,-0.0,-0.21024806832045548,1.0,-0.0,-0.6265758438389589,-0.0,-0.26199674664497763,-0.0,-0.4930357869052461,-0.490494103294022,-0.0,-0.0,-0.0,-0.0,-0.4088552257015047,-0.31867629117527446,-1.273434322895486,-0.0,-0.0
2019-03-13,-0.0,-0.21852078239608802,1.0,-0.0,-0.6369702526487367,-0.0,-0.27180114099429503,-0.0,-0.482681336593317,-0.48059290953545236,-0.0,-0.0,-0.0,-0.0,-0.43128565607171965,-0.31061532192339036,-1.2613080684596578,-0.0,-0.0
2019-03-14,-0.0,-0.21824750661510278,1.0,-0.0,-0.644819865662528,-0.0,-0.26791166293507024,-0.0,-0.4788825564828007,-0.4865153673926318,-0.0,-0.0,-0.0,-0.0,-0.41822715245267655,-0.30393853042947283,-1.2699470791776917,-0.0,-0.0
2019-03-15,-0.0,-0.248155737704918,1.0,-0.0,-0.6451844262295081,-0.0,-0.29226434426229503,-0.0,-0.4473360655737704,-0.47961065573770484,-0.0,-0.0,-0.0,-0.0,-0.3832991803278688,-0.29943647540983603,-1.3276127049180326,-0.0,-0.0
2019-03-18,-0.0,-0.2507016380058172,1.0,-0.0,-0.6156554574679798,-0.0,-0.2386589784150635,-0.0,-0.46425473286727564,-0.48839108026738787,-0.0,-0.0,-0.0,-0.0,-0.43419911210899625,-0.32147777721079757,-1.2894830841455323,-0.0,-0.0
