Date,IWF,IWM,MTUM,NFG,SPY,VLUE,VXX
2018-09-24,-0.1714685240884386,-0.6083847818057094,-0.0,1.0,-0.4096353754419292,-0.44892090127170065,0.0
2018-09-25,-0.17291309508110245,-0.6076486878544113,-0.0,1.0,-0.4090993010681788,-0.44781748648292236,0.0
2018-09-26,-0.17168730364073187,-0.6072550624389471,-0.0,1.0,-0.40993214879742323,-0.45127650025081184,0.0
2018-09-27,-0.17074009416494734,-0.6116489446119664,-0.0,1.0,-0.41064910331693383,-0.4520446489975136,0.0
2018-09-28,-0.17793565897661054,-0.6125435725499587,-0.0,1.0,-0.4149703307522419,-0.45546951917192197,0.0
2018-10-01,-0.177580554889262,-0.6155219743610245,-0.0,1.0,-0.4154206977425975,-0.45665094213906876,0.0
2018-10-02,-0.17949469644475238,-0.6088161611854379,-0.0,1.0,-0.4177815681466873,-0.4590373647460157,0.0
2018-10-03,-0.17893333333333336,-0.5994666666666667,-0.0,1.0,-0.42210666666666663,-0.46613333333333334,0.0
2018-10-04,-0.18006610865276965,-0.5975102628352083,-0.0,1.0,-0.4231753478701285,-0.4649464200031988,0.0
2018-10-05,-0.1656181147301638,-0.5905869236282552,-0.0,1.0,-0.42688009344057765,-0.4714767327652571,0.0
2018-10-08,-0.16265987369314866,-0.5879106299421536,-0.0,1.0,-0.4314334235525129,-0.4715278883404978,0.0
2018-10-09,-0.15625,-0.5898104770017035,-0.0,1.0,-0.436541737649063,-0.47923764906303234,0.0
2018-10-10,-0.15972074184608825,-0.5893999147303347,-0.0,1.0,-0.4393785973140056,-0.476177787252185,0.0
2018-10-11,-0.10186506186609945,-0.5828642577365049,-0.0,1.0,-0.4218567611735104,-0.4873803532982283,0.0
2018-10-12,-0.09805940186338602,-0.5800175014155556,-0.0,1.0,-0.41478354866937767,-0.4808771297678489,0.0
2018-10-15,-0.06594399277326106,-0.6169054071493096,-0.0,1.0,-0.41223383662408053,-0.4858949541876371,0.0
2018-10-16,-0.0591614906832298,-0.631547619047619,-0.0,1.0,-0.41193064182194616,-0.485351966873706,0.0
2018-10-17,-0.04729919550504405,-0.6100114927850849,-0.0,1.0,-0.4079938705146214,-0.4886732218107522,0.0
2018-10-18,-0.04722498914514852,-0.6102980614512298,-0.0,1.0,-0.4078103849002631,-0.4887237248742114,0.0
2018-10-19,-0.033032500126755564,-0.6021649850428434,-0.0,1.0,-0.40985144247832483,-0.4900370126248543,0.0
2018-10-22,-0.03346141123183796,-0.5908801750680679,-0.0,1.0,-0.420595943917148,-0.49968192574874676,0.0
2018-10-23,-0.028997366200424476,-0.5946250031963587,-0.0,1.0,-0.42833763776306033,-0.5051269593678881,0.0
2018-10-24,-0.02697042447770343,-0.5927619144914951,-0.0,1.0,-0.4282831894570159,-0.5060019410532768,0.0
2018-10-25,-0.0,-0.5613124363527979,-0.0,1.0,-0.4361292566006805,-0.48612801470405603,0.0
2018-10-26,-0.0,-0.551860021314035,-0.0,1.0,-0.44747081712062253,-0.47904532950011147,0.0
2018-10-29,-0.0,-0.5524601490401224,-0.0,1.0,-0.43707743177219566,-0.4780387899126487,0.0
2018-10-30,-0.0,-0.5552864415995254,-0.0,1.0,-0.44073451633631555,-0.47545845484652266,0.0
2018-10-31,-0.0,-0.5443824779500283,-0.0,1.0,-0.43969731960789127,-0.4727415669606663,0.0
2018-11-01,-0.0,-0.5594267845271219,-0.0,1.0,-0.43298943687981684,-0.4698249329032576,0.0
2018-11-02,-0.0,-0.5477544616591489,-0.0,1.0,-0.436139439105707,-0.4675426554226319,0.0
2018-11-05,-0.0,-0.5513361462728551,-0.0,1.0,-0.4931239256133771,-0.5601135594103245,0.0
2018-11-06,-0.0,-0.5571922118964087,-0.0,1.0,-0.5244918182061651,-0.5964808912932859,0.0
2018-11-07,-0.0,-0.5569562657245329,-0.0,1.0,-0.5235533429687919,-0.5960334029227558,0.0
2018-11-08,-0.0,-0.5519118428040362,-0.0,1.0,-0.5091874668082847,-0.5942379182156133,0.0
2018-11-09,-0.0,-0.5544907629239206,-0.0,1.0,-0.5106745461321408,-0.5968162700314115,0.0
