Date,IWF,IWM,MTUM,NUAN,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.6232613704240977,-0.0,1.0,-0.0,-0.0,-0.5712375913758284,-0.08538840060300937,-0.0,-0.2777540745797423,-0.0,-0.0,-0.0,-0.019171146571095372,-0.0,-0.0,-0.26757118070370056,-0.0,-0.0
2019-01-03,-0.0,-0.6191355219811429,-0.0,1.0,-0.0,-0.0,-0.5051402930819039,-0.1388447120299898,-0.0,-0.3028229012836533,-0.0,-0.008548222196978303,-0.0,-0.0,-0.0,-0.0,-0.2654208792457117,-0.0,-0.0
2019-01-04,-0.0,-0.6334855748773085,-0.0,1.0,-0.0,-0.0,-0.46449746106493434,-0.12064905960114607,-0.0,-0.31616124365266235,-0.0,-0.0,-0.0,-0.0,-0.013020907208306148,-0.0,-0.2889563416640663,-0.0,-0.0
2019-01-07,-0.0,-0.6183545187875402,-0.0,1.0,-0.0,-0.0,-0.49196815197653304,-0.11202681938818271,-0.0,-0.2993434837267775,-0.0,-0.0,-0.0,-0.0,-0.004972761558876938,-0.0,-0.2669925967313871,-0.0,-0.0
2019-01-08,-0.0,-0.6672233702267388,-0.0,1.0,-0.0,-0.0,-0.48322812579613333,-0.12055934554306906,-0.0,-0.2846547966144875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.27505873694341443,-0.0,-0.0
2019-01-09,-0.0,-0.6477656461053579,-0.0,1.0,-0.0,-0.0,-0.49597591175146327,-0.14331945069788385,-0.0,-0.27073953174245835,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2562753264295362,-0.0,-0.0
2019-01-10,-0.0,-0.6418541701911691,-0.0,1.0,-0.0,-0.0,-0.4983646309141149,-0.13446681328596405,-0.0,-0.277928156544296,-0.0,-0.0,-0.0,-0.0,-0.009191902103422998,-0.0,-0.2577961991766763,-0.0,-0.0
2019-01-11,-0.0,-0.6542725371680655,-0.0,1.0,-0.0,-0.0,-0.520983127560228,-0.12483886676788221,-0.0,-0.27448508980492137,-0.0,-0.0,-0.0,-0.0,-0.0044401157294680456,-0.0,-0.2855137643587613,-0.0,-0.0
2019-01-14,-0.0,-0.6524081024553763,-0.0,1.0,-0.0,-0.0,-0.5198407013723748,-0.13440105435062888,-0.0,-0.26880210870125776,-0.0,-0.0,-0.0,-0.0,-0.0074778672320430905,-0.0,-0.28215339655616994,-0.0,-0.0
2019-01-15,-0.0,-0.6432259720993924,-0.0,1.0,-0.0,-0.0,-0.5249194077539725,-0.135480558012153,-0.0,-0.26913530938864005,-0.0,-0.0,-0.0,-0.0,-0.019342139046586597,-0.0,-0.26074801015604937,-0.0,-0.0
2019-01-16,-0.0,-0.6396470521477615,-0.0,1.0,-0.0,-0.0,-0.5198887817057254,-0.16299721954264315,-0.0,-0.24967372184077624,-0.0,-0.0,-0.0,-0.0,-0.014129262895080293,-0.0,-0.25083697440844355,-0.0,-0.0
2019-01-17,-0.0,-0.6397684712291455,-0.0,1.0,-0.0,-0.0,-0.519350811485643,-0.16346044716831235,-0.0,-0.24954602201793216,-0.0,-0.0,-0.0,-0.0,-0.014073317444103962,-0.0,-0.25116331857904894,-0.0,-0.0
2019-01-18,-0.0,-0.640040846428774,-0.0,1.0,-0.0,-0.0,-0.5198559028762693,-0.16259147898110854,-0.0,-0.24961706473024334,-0.0,-0.0,-0.0,-0.0,-0.013530379531400691,-0.0,-0.25089351562943213,-0.0,-0.0
2019-01-22,-0.0,-0.6552330196167366,-0.0,1.0,-0.0,-0.0,-0.4977605170654269,-0.12691348225422383,-0.0,-0.27341535321465016,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2814378047397664,-0.0,-0.0
2019-01-23,-0.0,-0.6578574665760254,-0.0,1.0,-0.0,-0.0,-0.5051835486063903,-0.11992975300249263,-0.0,-0.2676467255835033,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28189440290052115,-0.0,-0.0
2019-01-24,-0.0,-0.6569225098528453,-0.0,1.0,-0.0,-0.0,-0.5086903513000085,-0.1199070004820097,-0.0,-0.26683489750205563,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28296804559244665,-0.0,-0.0
2019-01-25,-0.0,-0.653371535559275,-0.0,1.0,-0.0,-0.0,-0.5273609259311793,-0.10904655187086892,-0.0,-0.2662335820260418,-0.0,-0.0,-0.0,-0.0,-0.007630989191795978,-0.0,-0.27318373946838387,-0.0,-0.0
2019-01-28,-0.0,-0.6601498212360252,-0.0,1.0,-0.0,-0.0,-0.5391578230520402,-0.11142954429374041,-0.0,-0.2635491742806878,-0.0,-0.0,-0.0,-0.0,-0.0028375234095681288,-0.0,-0.2603995232960672,-0.0,-0.0
2019-01-29,-0.0,-0.6617091930860273,-0.0,1.0,-0.0,-0.0,-0.5416512928220703,-0.10884681974285472,-0.0,-0.2581954417733375,-0.0,-0.0,-0.0,-0.0,-0.01617801492918571,-0.0,-0.2516958533193313,-0.0,-0.0
2019-01-30,-0.0,-0.6596898784505283,-0.0,1.0,-0.0,-0.0,-0.5337100988299444,-0.1013858911734636,-0.0,-0.27243553334090653,-0.0,-0.0,-0.0,-0.0,-0.0168976485289106,-0.0,-0.2558502783142111,-0.0,-0.0
2019-01-31,-0.0,-0.6591970121381886,-0.0,1.0,-0.0,-0.0,-0.5258467023172905,-0.10825340237104943,-0.0,-0.2661630308689132,-0.0,-0.0,-0.0,-0.0,-0.018136547548312253,-0.0,-0.2518178988767224,-0.0,-0.0
2019-02-01,-0.0,-0.6670041909262228,-0.0,1.0,-0.0,-0.0,-0.5666188507298962,-0.13261890698393947,-0.0,-0.21804067167327654,-0.0,-0.0,-0.0,-0.0,-0.0005906674542232723,-0.0,-0.22782887520040504,-0.0,-0.0
2019-02-04,-0.0,-0.6642698023291882,-0.0,1.0,-0.0,-0.0,-0.5817612723119872,-0.1429941065335702,-0.0,-0.20818881651298538,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22259820094182667,-0.0,-0.0
2019-02-05,-0.0,-0.6419505866425993,-0.0,1.0,-0.0,-0.0,-0.5708483754512635,-0.17289034296028882,-0.0,-0.20676331227436823,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.22794449458483756,-0.0,-0.0
2019-02-06,-0.0,-0.6360340970235905,-0.0,1.0,-0.0,-0.0,-0.5783183710458498,-0.16501939905411914,-0.0,-0.2197898671801988,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23284528900342671,-0.0,-0.0
2019-02-07,-0.0,-0.6396587881879499,-0.0,1.0,-0.0,-0.0,-0.578104630731735,-0.17916454117780423,-0.0,-0.20478376693306127,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.23230176273876324,-0.0,-0.0
