Date,IWF,IWM,MTUM,OCFT,SPY,VLUE,VXX
2020-08-13,-1.3654938146420605,-0.0,-1.2583147434597444,1.0,-1.4461569661326303,-0.0,0.0
2020-08-14,-1.3811929180060207,-0.0,-1.273534363998163,1.0,-1.44757385580897,-0.0,0.0
2020-08-17,-1.3803959587713033,-0.0,-1.2738034493315646,1.0,-1.448362077763037,-0.0,0.0
2020-08-18,-1.386334512276385,-0.0,-1.2933517863550155,1.0,-1.4461530575631758,-0.0,0.0
2020-08-19,-1.385422560567872,-0.0,-1.2967954323337276,1.0,-1.461550331773057,-0.0,0.0
2020-08-20,-1.3850545155317835,-0.0,-1.2964410615099775,1.0,-1.461479119522732,-0.0,0.0
2020-08-21,-1.3817910294041917,-0.0,-1.2925485349400072,1.0,-1.4752561923888976,-0.0,0.0
2020-08-24,-1.386009292720702,-0.0,-1.2967475477542592,1.0,-1.4798657718120805,-0.0,0.0
2020-08-25,-1.3857312477414692,-0.0,-1.3012234783955399,1.0,-1.4754013731867224,-0.0,0.0
2020-08-26,-1.3928127589063792,-0.0,-1.3065451532725765,1.0,-1.4787696768848384,-0.0,0.0
2020-08-27,-1.3767410552477606,-0.01258219851913219,-1.3004711852120334,1.0,-1.4880650339149795,-0.0,0.0
2020-08-28,-1.3841283022785071,-0.009965225515129496,-1.3059116624279856,1.0,-1.4901645300254318,-0.0,0.0
2020-08-31,-1.3839925256929304,-0.010692411502128102,-1.30587563583515,1.0,-1.489930447420326,-0.0,0.0
2020-09-01,-1.3877253308325517,-0.021621340002083985,-1.2883713660518912,1.0,-1.5122434093987704,-0.0,0.0
2020-09-02,-1.3808680248007086,-0.021205647892460794,-1.2904704840306362,1.0,-1.5176366383577347,-0.0,0.0
2020-09-03,-1.3803821523402926,-0.023428958192325714,-1.2929661061071485,1.0,-1.509657937210392,-0.0,0.0
2020-09-04,-1.329824921702521,-0.03285926990809673,-1.244442162550701,1.0,-1.5271859115880269,-0.0,0.0
2020-09-08,-1.3201353985024107,-0.039388655246691974,-1.2403836290901633,1.0,-1.5288234690737514,-0.0,0.0
2020-09-09,-1.2928851141738291,-0.06280832019529065,-1.201902049534659,1.0,-1.5280984590347353,-0.0,0.0
2020-09-10,-1.2803211218942125,-0.0770286062700066,-1.1797164778212488,1.0,-1.5440272343884964,-0.0,0.0
2020-09-11,-1.2706389452332658,-0.08316430020283977,-1.1774340770791076,1.0,-1.5397058823529413,-0.0,0.0
