Date,IWF,IWM,MTUM,PFL,SPY,VLUE,VXX
2018-09-24,-0.09794326502078812,-0.3473269803892712,-0.0,1.0,-0.2049928253430958,-0.1893925457154421,0.0
2018-09-25,-0.09829853766209878,-0.3471351053067231,-0.0,1.0,-0.2048560654833073,-0.18912903522486893,0.0
2018-09-26,-0.09869957878860339,-0.3474902054555153,-0.0,1.0,-0.2048117424172752,-0.18833115676789228,0.0
2018-09-27,-0.09757268112598062,-0.3529487771112137,-0.0,1.0,-0.20588832487309647,-0.189460083064144,0.0
2018-09-28,-0.0969981168999003,-0.3536166598973525,-0.0,1.0,-0.20595945796255954,-0.18960233356718234,0.0
2018-10-01,-0.09772269730159024,-0.35304656188242245,-0.0,1.0,-0.20649022034242653,-0.18970134643444214,0.0
2018-10-02,-0.10108597117643794,-0.3424971786949846,-0.0,1.0,-0.21162562669972068,-0.1948272991323331,0.0
2018-10-03,-0.10219600860597969,-0.34791156613992136,-0.0,1.0,-0.21134728095556052,-0.19328214259218043,0.0
2018-10-04,-0.10387539402929724,-0.3452438346004079,-0.0,1.0,-0.21344335249397367,-0.19169293528648249,0.0
2018-10-05,-0.10514499879399596,-0.3483681837579087,-0.0,1.0,-0.21231237360149918,-0.18954672801825706,0.0
2018-10-08,-0.10651999925549538,-0.35122005695460384,-0.0,1.0,-0.21259329573584976,-0.19090959852588082,0.0
2018-10-09,-0.10472734040573237,-0.3510887772194305,-0.0,1.0,-0.21321421924436998,-0.19214591475898007,0.0
2018-10-10,-0.10606427122681006,-0.35040285815299305,-0.0,1.0,-0.21402653467557356,-0.1903016319011555,0.0
2018-10-11,-0.095469730900547,-0.3467821873049671,-0.0,1.0,-0.20733139983112447,-0.18602004478872203,0.0
2018-10-12,-0.09176401440011754,-0.34911101315112775,-0.0,1.0,-0.20882007200058775,-0.18707295569759752,0.0
2018-10-15,-0.09967733013736517,-0.3440029501244584,-0.0,1.0,-0.21205863372361022,-0.18808887249930858,0.0
2018-10-16,-0.09406737332815361,-0.3560500952698078,-0.0,1.0,-0.21197994709288343,-0.1878017648038182,0.0
2018-10-17,-0.0899994492077772,-0.34806396533680944,-0.0,1.0,-0.20988855637358403,-0.1880221051278756,0.0
2018-10-18,-0.09016453650653737,-0.34864845012487145,-0.0,1.0,-0.20952695754370498,-0.18802335830762448,0.0
2018-10-19,-0.08556725487691381,-0.3452252778335371,-0.0,1.0,-0.20821547838464205,-0.1858428073504991,0.0
2018-10-22,-0.08600756150572592,-0.3470256251027378,-0.0,1.0,-0.20783182042337126,-0.18558565140362732,0.0
2018-10-23,-0.08786091276001241,-0.3471154372956882,-0.0,1.0,-0.20642109684606536,-0.18487134065051045,0.0
2018-10-24,-0.0874785278315851,-0.3491100471473995,-0.0,1.0,-0.2064983005007127,-0.18433171302218485,0.0
2018-10-25,-0.07289756236534249,-0.3287334627232421,-0.0,1.0,-0.2092733391499439,-0.1697085165862431,0.0
2018-10-26,-0.06331931733860995,-0.32293911875905446,-0.0,1.0,-0.2142857142857143,-0.166177873573372,0.0
2018-10-29,-0.06405882664875472,-0.3228748696374596,-0.0,1.0,-0.21561522280946743,-0.16507874781256077,0.0
2018-10-30,-0.05901169983386943,-0.32305326782368954,-0.0,1.0,-0.21595206956275848,-0.16932946873564034,0.0
