Date,IWF,IWM,MTUM,PODD,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.7341905564924115,-0.0,1.0,-0.0,-0.0,-1.011256323777403,-0.0,-0.5121838111298482,-0.3534991568296796,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.604806070826307,-0.0,-0.0
2019-01-03,-0.0,-0.7083880653030588,-0.0,1.0,-0.0,-0.0,-1.3665321823981986,-0.0,-0.5240195158566335,-0.2770219553387127,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8122537061362357,-0.003096265715894164,-0.0
2019-01-04,-0.0,-0.7437336326225215,-0.0,1.0,-0.0,-0.0,-1.3238870183314628,-0.0,-0.4505705200149645,-0.30125327347549574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8569958847736626,-0.0,-0.0
2019-01-07,-0.0,-0.7127409284227672,-0.0,1.0,-0.0,-0.0,-1.3869333092027871,-0.0,-0.3952131028866166,-0.255180526649172,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7743643109220885,-0.0,-0.0
2019-01-08,-0.0,-0.582591493570722,-0.0,1.0,-0.0,-0.0,-1.486411379586454,-0.0,-0.47053836371343793,-0.28251142197729734,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8880410720173332,-0.0,-0.0
2019-01-09,-0.0,-0.5306475762680142,-0.0,1.0,-0.0,-0.0,-1.5558674901740595,-0.0,-0.4799737974920457,-0.2469118472768108,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8330993823694555,-0.03256597417181359,-0.0
2019-01-10,-0.0,-0.5451185853955186,-0.0,1.0,-0.0,-0.0,-1.554146980399495,-0.0,-0.47494971230762034,-0.23908874023483184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8280394816859242,-0.03658137250315761,-0.0
2019-01-11,-0.0,-0.5277519523986612,-0.0,1.0,-0.0,-0.0,-1.530866493120119,-0.0,-0.45100409074005204,-0.2539047973224247,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8004369654146523,-0.08465042766827817,-0.0
2019-01-14,-0.0,-0.5220248916235491,-0.0,1.0,-0.0,-0.0,-1.5271989931478114,-0.0,-0.458164359297068,-0.2645317671188179,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8134060504358365,-0.0760732764648301,-0.0
2019-01-15,-0.0,-0.47018668152688775,-0.0,1.0,-0.0,-0.0,-1.6796693600817312,-0.0,-0.4622457509055447,-0.28025448128540914,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7165412835515927,-0.034921519457601934,-0.0
