Date,IWF,IWM,MTUM,PRSP,SPY,VLUE,VXX
2019-01-30,-0.0,-0.5175619461023694,-0.0,1.0,-1.1809007053716767,-0.9188641707361188,0.0
2019-01-31,-0.0,-0.5172749216413879,-0.0,1.0,-1.1475663796519797,-0.9378535144287927,0.0
2019-02-01,-0.0,-0.5141880956662471,-0.0,1.0,-1.1425283222442006,-0.9397590361445781,0.0
2019-02-04,-0.0,-0.5141068086944004,-0.0,1.0,-1.140636245861523,-0.9439326327911327,0.0
2019-02-05,-0.0,-0.500215780766741,-0.0,1.0,-1.1374523484140115,-0.9586420197079768,0.0
2019-02-06,-0.0,-0.5015102481121899,-0.0,1.0,-1.1335131247752608,-0.9608054656598345,0.0
2019-02-07,-0.0,-0.5021753982237244,-0.0,1.0,-1.1341915069576785,-0.9593326381647548,0.0
2019-02-08,-0.0,-0.5109120229349579,-0.0,1.0,-1.1390073463537,-0.933631965597563,0.0
2019-02-11,-0.0,-0.5073962372540571,-0.0,1.0,-1.1343171046962517,-0.9486930920580211,0.0
2019-02-12,-0.0,-0.4963535117657626,-0.0,1.0,-1.1432728579126998,-0.9529369498832405,0.0
2019-02-13,-0.0,-0.496173378156069,-0.0,1.0,-1.1381517774122023,-0.9419569415635507,0.0
2019-02-14,-0.0,-0.49507044778259773,-0.0,1.0,-1.137776503065285,-0.9522819345355465,0.0
2019-02-15,-0.0,-0.5113718151720167,-0.0,1.0,-1.1358500071973514,-0.9514538649776882,0.0
2019-02-19,-0.0,-0.5046480743691899,-0.0,1.0,-1.137252790639245,-0.9473457521266285,0.0
2019-02-20,-0.0,-0.5053898670499462,-0.0,1.0,-1.1358965145526412,-0.9519583183614805,0.0
2019-02-21,-0.0,-0.5073161962969621,-0.0,1.0,-1.1355743303972676,-0.9522559769908322,0.0
2019-02-22,-0.0,-0.5070118662351671,-0.0,1.0,-1.135814455231931,-0.9530025170801869,0.0
2019-02-25,-0.0,-0.5033593216685229,-0.0,1.0,-1.1353788668127762,-0.954119211008515,0.0
2019-02-26,-0.0,-0.5044731074623648,-0.0,1.0,-1.136528581180613,-0.9518197822728415,0.0
2019-02-27,-0.0,-0.5027842644153044,-0.0,1.0,-1.1375246991198134,-0.9522543560265854,0.0
2019-02-28,-0.0,-0.5012937540429814,-0.0,1.0,-1.1367785524329763,-0.9556889240278875,0.0
2019-03-01,-0.0,-0.5019578259151488,-0.0,1.0,-1.1395624528505226,-0.9508208499479112,0.0
2019-03-04,-0.0,-0.49558443423319937,-0.0,1.0,-1.1379595060310168,-0.9563469270534177,0.0
2019-03-05,-0.0,-0.49139044339216525,-0.0,1.0,-1.1423446692495336,-0.9535801406227579,0.0
2019-03-06,-0.0,-0.4946236559139785,-0.0,1.0,-1.140000719243356,-0.9616283669579604,0.0
2019-03-07,-0.0,-0.4675278076785073,-0.0,1.0,-1.167204879799067,-0.9533548618586293,0.0
2019-03-08,-0.0,-0.4654369627507164,-0.0,1.0,-1.1653653295128938,-0.9508595988538682,0.0
2019-03-11,-0.0,-0.4676055328603168,-0.0,1.0,-1.1629398695621014,-0.9529133519673189,0.0
2019-03-12,-0.0,-0.45593897048338805,-0.0,1.0,-1.1602737772707827,-0.9485954655639527,0.0
