Date,IWF,IWM,MTUM,PSB,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.1995813683706151,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03139737220386856,-0.0,-0.0,-0.19040173505157237,-0.6271404433460268,-0.47335636647920715,-0.0,-0.0
2019-01-03,-0.0,-0.19824100283057017,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02840679336837849,-0.0,-0.0,-0.18810655074807925,-0.6358420946219167,-0.476698342094622,-0.0,-0.0
2019-01-04,-0.0,-0.19716498095694504,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.023431785507100157,-0.0,-0.0,-0.18505813806845411,-0.6430246929149747,-0.4735793376548037,-0.0,-0.0
2019-01-07,-0.0,-0.17550837766618604,-0.0,1.0,-0.0006214885894694973,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.018445781335454683,-0.0,-0.0,-0.17093422164769054,-0.6676030428081341,-0.4528165862874758,-0.0,-0.0
2019-01-08,-0.0,-0.16858123228405192,-0.0,1.0,-0.0026356357849719033,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02257695559202347,-0.0,-0.0,-0.17335521408324633,-0.6625888905465215,-0.4567109254562634,-0.0,-0.0
2019-01-09,-0.0,-0.1709871629017813,-0.0,1.0,-0.001915613493879988,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02040003980495572,-0.0,-0.0,-0.17240521444919893,-0.6644193452084785,-0.45768235645337846,-0.0,-0.0
2019-01-10,-0.0,-0.1690361775763763,-0.0,1.0,-0.0006722605383064015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.019072280457137165,-0.0,-0.0,-0.1800662301122924,-0.6637203396160645,-0.4573114558175435,-0.0,-0.0
2019-01-11,-0.0,-0.16549120890036756,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.023442932353233338,-0.0,-0.0,-0.1876179596702096,-0.6551852587662661,-0.4516489520214563,-0.0,-0.0
2019-01-14,-0.0,-0.16246135434327316,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02745088261693428,-0.0,-0.0,-0.2008078188889997,-0.6594943652139225,-0.4430288221801137,-0.0,-0.0
2019-01-15,-0.0,-0.1578187250996016,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.031449203187250994,-0.0,-0.0,-0.20159362549800797,-0.6632470119521912,-0.435906374501992,-0.0,-0.0
2019-01-16,-0.0,-0.1568437523284405,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0304249559148598,-0.0,-0.0,-0.2005315053523086,-0.6638849564115937,-0.4320095372923031,-0.0,-0.0
2019-01-17,-0.0,-0.14852327006277039,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06699677395153425,-0.0,-0.0,-0.16102733388351215,-0.6732688123640184,-0.4509965738865131,-0.0,-0.0
2019-01-18,-0.0,-0.14522292993630573,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06799050830523293,-0.0,-0.0,-0.16085924815786187,-0.6743099787685775,-0.44945672536530534,-0.0,-0.0
2019-01-22,-0.0,-0.15203847687400318,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05589613237639553,-0.0,-0.0,-0.13858153907496013,-0.6840111642743222,-0.46149820574162675,-0.0,-0.0
2019-01-23,-0.0,-0.15361212937333235,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05521059325203861,-0.0,-0.0,-0.14174210119448394,-0.6831500461335129,-0.45998852896436504,-0.0,-0.0
2019-01-24,-0.0,-0.15501020458957637,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.056548359798894915,-0.0,-0.0,-0.1297725123201752,-0.6912987206929164,-0.4562944895216287,-0.0,-0.0
2019-01-25,-0.0,-0.1510721490299604,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.054292331830747394,-0.0,-0.0,-0.14970238836450575,-0.6865489502652355,-0.4488581176997983,-0.0,-0.0
2019-01-28,-0.0,-0.15460657370517927,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05737051792828685,-0.0,-0.0,-0.1351344621513944,-0.7198705179282869,-0.42305776892430275,-0.0,-0.0
2019-01-29,-0.0,-0.15226429656185425,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05688749470958747,-0.0,-0.0,-0.1379490626633804,-0.7247491722060397,-0.41773097318694447,-0.0,-0.0
