Date,IWF,IWM,MTUM,PTGX,SPY,VLUE,VXX
2018-09-24,-7.513383939272873,-8.692369157011587,-6.641630043947263,1.0,-8.090291650019976,-8.013983220135836,0.0
2018-09-25,-7.522590963614554,-8.697321071571372,-6.651739304278289,1.0,-8.09516193522591,-8.0171931227509,0.0
2018-09-26,-7.529011604641858,-8.705082032813126,-6.657863145258104,1.0,-8.101640656262505,-8.022408963585434,0.0
2018-09-27,-7.533813525410165,-8.69467787114846,-6.6618647458983595,1.0,-8.10324129651861,-8.022408963585434,0.0
2018-09-28,-7.758450123660346,-8.991755976916735,-6.824402308326464,1.0,-8.365622423742787,-8.279884583676834,0.0
2018-10-01,-7.755665430572724,-8.987227029254223,-6.821590440873507,1.0,-8.362587556654306,-8.276473011948909,0.0
2018-10-02,-7.755665430572724,-8.985990935311085,-6.8220024721878865,1.0,-8.362587556654306,-8.276473011948909,0.0
2018-10-03,-7.7492795389049,-8.964594483326472,-6.814738575545492,1.0,-8.361465623713462,-8.278715520790449,0.0
2018-10-04,-7.726713171932704,-8.930242100943783,-6.7907263028313505,1.0,-8.338530980713992,-8.247845711940911,0.0
2018-10-05,-7.4838452333466305,-8.682887913841245,-6.558436378141206,1.0,-8.123254886318309,-8.039489429597129,0.0
2018-10-08,-7.427326732673268,-8.617425742574257,-6.502574257425742,1.0,-8.073267326732672,-7.983366336633663,0.0
2018-10-09,-7.438492063492063,-8.636111111111111,-6.5055555555555555,1.0,-8.09484126984127,-8.007539682539683,0.0
2018-10-10,-7.4497417560588,-8.644417957886372,-6.516487882399682,1.0,-8.105681366706396,-8.013508144616607,0.0
2018-10-11,-6.976253298153034,-8.27892951375801,-6.013569543912551,1.0,-7.7180550320392,-7.706370147003391,0.0
2018-10-12,-6.753728628592215,-7.997817388141142,-5.795562022553655,1.0,-7.425609312477264,-7.404510731174973,0.0
2018-10-15,-6.741322616002924,-8.119108512970406,-5.754475703324808,1.0,-7.462915601023018,-7.458165875045671,0.0
2018-10-16,-6.792188651436994,-8.215917464996316,-5.783345615327929,1.0,-7.529108327192335,-7.525423728813559,0.0
2018-10-17,-6.435834502103787,-7.7812061711079945,-5.447405329593268,1.0,-7.18899018232819,-7.210028050490884,0.0
2018-10-18,-6.434782608695651,-7.782258064516129,-5.444950911640954,1.0,-7.1903927068723705,-7.2107293127629735,0.0
2018-10-19,-6.263608353303663,-7.591920575145498,-5.288599794590894,1.0,-7.036631290653886,-7.053748716193085,0.0
2018-10-22,-6.246757679180887,-7.558703071672355,-5.261433447098976,1.0,-7.02320819112628,-7.039590443686007,0.0
2018-10-23,-6.268242548818088,-7.5936964713943125,-5.2716683795820485,1.0,-7.054128126070572,-7.0705721137375805,0.0
2018-10-24,-6.341877381364738,-7.6750952545895395,-5.31659161759612,1.0,-7.142015933494978,-7.162105992379633,0.0
2018-10-25,-5.832102728731942,-7.0863563402889245,-4.881540930979133,1.0,-6.6754414125200645,-6.626966292134831,0.0
2018-10-26,-5.6221255438160345,-6.864822871348664,-4.673710379117464,1.0,-6.4934742075823495,-6.420758234928527,0.0
2018-10-29,-5.526865213386552,-6.8170095179613135,-4.584894074301504,1.0,-6.409579367516119,-6.364752840036844,0.0
2018-10-30,-5.49235006119951,-6.7986536107711135,-4.5550795593635245,1.0,-6.391982864137087,-6.3613831089351285,0.0
2018-10-31,-5.51394422310757,-6.781489426907754,-4.562978853815507,1.0,-6.413116763714373,-6.375114924915723,0.0
2018-11-01,-5.439246658566222,-6.760935601458081,-4.487545565006076,1.0,-6.3611786148238165,-6.327764277035238,0.0
2018-11-02,-5.407708521529659,-6.660042155977115,-4.436013249021379,1.0,-6.331526648599819,-6.275519421860885,0.0
2018-11-05,-5.399037014745711,-6.67439061089377,-4.431838699969907,1.0,-6.327715919349985,-6.260306951549803,0.0
2018-11-06,-5.411569749924676,-6.688761675203375,-4.4341669177463094,1.0,-6.332630310334439,-6.262428442301899,0.0
2018-11-07,-5.401686239084612,-6.696476964769647,-4.4143330322192105,1.0,-6.335140018066847,-6.264077085215296,0.0
2018-11-08,-5.195214473300262,-6.524365334111468,-4.216515903122263,1.0,-6.143857601400641,-6.100087540122556,0.0
2018-11-09,-5.204385964912281,-6.538304093567251,-4.2254385964912275,1.0,-6.158187134502923,-6.113157894736842,0.0
2018-11-12,-5.281268524007113,-6.603734439834025,-4.279786603438056,1.0,-6.267634854771784,-6.205690574985181,0.0
2018-11-13,-5.120196475007223,-6.454492921121063,-4.126553019358567,1.0,-6.129731291534238,-6.062409708176827,0.0
2018-11-14,-5.16365227537923,-6.5312135355892655,-4.1458576429404905,1.0,-6.199824970828471,-6.130980163360561,0.0
2018-11-15,-5.134899912967798,-6.499564838990426,-4.118073687264287,1.0,-6.170293008413112,-6.087902523933856,0.0
2018-11-16,-5.060979101059261,-6.406527340395075,-4.048955052963069,1.0,-6.093043229315773,-6.019467506441454,0.0
2018-11-19,-5.065921467469189,-6.41616509028375,-4.049584408139869,1.0,-6.102034967039267,-6.028088277443394,0.0
2018-11-20,-4.791769547325103,-6.16076817558299,-3.7871056241426606,1.0,-5.869958847736625,-5.825240054869684,0.0
2018-11-21,-4.673169428113308,-6.003741314804917,-3.687332977017637,1.0,-5.718866916087653,-5.641101015499732,0.0
2018-11-23,-4.712823275862069,-6.03259698275862,-3.7222521551724133,1.0,-5.7780172413793105,-5.693965517241379,0.0
2018-11-26,-4.733694181326117,-6.07171853856563,-3.735047361299053,1.0,-5.8037889039242225,-5.719350473612991,0.0
2018-11-27,-4.71972972972973,-6.088378378378379,-3.6981081081081086,1.0,-5.802702702702703,-5.7178378378378385,0.0
2018-11-28,-4.724025974025974,-6.099837662337663,-3.70021645021645,1.0,-5.808441558441559,-5.723755411255411,0.0
2018-11-29,-4.917329545454545,-6.438352272727272,-3.801988636363636,1.0,-6.160227272727273,-6.090909090909091,0.0
2018-11-30,-4.93810610382202,-6.46719908727895,-3.813462635482031,1.0,-6.189104392470051,-6.11437535653166,0.0
2018-12-03,-4.936679977181974,-6.472618368511124,-3.802909298345693,1.0,-6.1925270964061605,-6.1175128351397605,0.0
2018-12-04,-4.935926773455377,-6.507151029748284,-3.813215102974829,1.0,-6.209382151029748,-6.1381578947368425,0.0
2018-12-06,-4.8301516002245934,-6.29842784952274,-3.8020774845592364,1.0,-6.131948343627176,-6.01179112857945,0.0
2018-12-07,-4.860491386613951,-6.3383225077661685,-3.8223665631177637,1.0,-6.171985314882802,-6.047161818695284,0.0
2018-12-10,-4.743539872186719,-6.274798555154209,-3.727979994442901,1.0,-6.094192831342039,-5.944984717977216,0.0
