Date,IWF,IWM,MTUM,QCOM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.2945236837471386,-0.0,1.0,-0.19918999823912661,-0.0,-0.614544814227857,-0.01771438633562247,-0.32632505722838534,-0.35988730410283504,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7095615425250925,-0.0,-0.0
2019-01-03,-0.0,-0.29780158230063714,-0.0,1.0,-0.16222082195617166,-0.0,-0.5451585801302247,-0.07915003850731639,-0.3314079675138276,-0.37282083595883214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.712140306658265,-0.0,-0.0
2019-01-04,-0.0,-0.30013637794174214,-0.0,1.0,-0.1594223170262615,-0.0,-0.5440780501451201,-0.07637164737559883,-0.32863587089554847,-0.37447984054271427,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7137461971535476,-0.0,-0.0
2019-01-07,-0.0,-0.23539653818579084,-0.0,1.0,-0.27585265098494416,-0.0,-0.6710935099518623,-0.04690860673927145,-0.2402444436857738,-0.3181523334812741,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6264040148851183,-0.0,-0.0
2019-01-08,-0.0,-0.208834103749358,-0.0,1.0,-0.2834103749357987,-0.0,-0.6836843006334532,-0.032391713747645955,-0.25505906522855676,-0.32610854305769565,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6345831193288821,-0.0,-0.0
2019-01-09,-0.0,-0.15135874209536831,-0.0,1.0,-0.24453939497521796,-0.0,-0.7528969406938986,-0.10627243206289524,-0.25062382498718166,-0.2825841736455307,-0.0,-0.02450863100324731,-0.0,-0.0,-0.0,-0.0,-0.6054349683814733,-0.0,-0.0
2019-01-10,-0.0,-0.1676476627198686,-0.0,1.0,-0.2423174320717268,-0.0,-0.7503250975292589,-0.12428991855451373,-0.2404695092738348,-0.26904387105605365,-0.0,-0.02617890630346999,-0.0,-0.0,-0.0,-0.0,-0.6018410786393813,-0.0,-0.0
2019-01-11,-0.0,-0.1576260804464711,-0.0,1.0,-0.24368747022391613,-0.0,-0.7420200095283468,-0.13343088545565915,-0.22456271694003943,-0.2748587762880283,-0.0,-0.03971278840264071,-0.0,-0.0,-0.0,-0.0,-0.5871163138909684,-0.0,-0.0
2019-01-14,-0.0,-0.1569196123925208,-0.0,1.0,-0.23693189572812884,-0.0,-0.7532414357854511,-0.1851371639142896,-0.20762249215231335,-0.25119421318411356,-0.0,-0.0382830626450116,-0.0,-0.0,-0.0,-0.0,-0.5826736727173468,-0.0,-0.0
2019-01-15,-0.0,-0.11540546033466569,-0.0,1.0,-0.2906307160761466,-0.0,-0.7638710114490889,-0.16089695820066394,-0.18592913759230406,-0.25824808617302353,-0.0,-0.0859697852449021,-0.0,-0.0,-0.0,-0.0,-0.5263871011449089,-0.0,-0.0
2019-01-16,-0.0,-0.07269303201506591,-0.0,1.0,-0.3307310392056155,-0.0,-0.755487074131142,-0.25632597158020887,-0.299914398219483,-0.17308680020544429,-0.0,-0.025954459852764938,-0.0,-0.0,-0.0,-0.0,-0.509844204759459,-0.0,-0.0
2019-01-17,-0.0,-0.04883816574131195,-0.0,1.0,-0.3367263006374666,-0.0,-0.7773322366166291,-0.26783878264445815,-0.3006717389814244,-0.18794982521077525,-0.0,-0.0,-0.0,-0.0,-0.00726574816642676,-0.0,-0.5006169031462061,-0.0,-0.0
2019-01-18,-0.0,-0.03759320985533143,-0.0,1.0,-0.35235902546304254,-0.0,-0.780041922957974,-0.27772241503728395,-0.25349644342118827,-0.21136730696539638,-0.0,-0.0010308924091955603,-0.0,-0.0,-0.017903164839696232,-0.0,-0.5047936497027594,-0.0,-0.0
2019-01-22,-0.0,-0.0547687465790914,-0.0,1.0,-0.31964969896004375,-0.0,-0.7735700602079911,-0.26334154351395733,-0.2494868637110016,-0.2260536398467433,-0.0,-0.0,-0.0,-0.0,-0.006431308155446086,-0.0,-0.5276067323481116,-0.0,-0.0
2019-01-23,-0.0,-0.054469655549480585,-0.0,1.0,-0.317249863313286,-0.0,-0.7819846910880262,-0.26199425915800983,-0.24952159650082012,-0.22276517222525968,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5290117550574084,-0.0,-0.0
2019-01-24,-0.0,-0.04870747340987532,-0.0,1.0,-0.3529266746495738,-0.0,-0.7321265055997745,-0.23047122631541872,-0.3105585687116996,-0.2516024512220892,-0.021694724237514965,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5738184123406352,-0.0,-0.0
2019-01-25,-0.0,-0.01879232705740524,-0.0,1.0,-0.4073325532744743,-0.0,-0.7899868808282806,-0.1820373719107896,-0.3334042477750594,-0.25263269864907983,-0.0136864872531291,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5478495195546573,-0.0,-0.0
2019-01-28,-0.0,-0.019636337858434057,-0.0,1.0,-0.40336015312090173,-0.0,-0.7926842235848722,-0.18030695069648744,-0.33831921454648567,-0.2516924821890618,-0.014213305922801544,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5442526494878247,-0.0,-0.0
2019-01-29,-0.0,-0.01971771047592028,-0.0,1.0,-0.40282998794240726,-0.0,-0.7909426200439748,-0.18015462089509893,-0.33736435208170795,-0.25342222852684587,-0.015391162493793886,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5464926590538336,-0.0,-0.0
2019-01-30,-0.0,-0.025716332378223496,-0.0,1.0,-0.390580229226361,-0.0,-0.7931232091690544,-0.16755014326647566,-0.29434097421203437,-0.3036532951289398,-0.004835243553008596,-0.026755014326647564,-0.0,-0.0,-0.0016475644699140402,-0.0,-0.5734957020057307,-0.0,-0.0
2019-01-31,-0.0,-0.01900203593242133,-0.0,1.0,-0.40961531592670647,-0.0,-0.7861556595349501,-0.17344715505232702,-0.2895310211808408,-0.30096081723041757,-0.0007143622530985463,-0.027145765617744757,-0.0,-0.0,-0.0,-0.0,-0.5652034146515698,-0.0,-0.0
2019-02-01,-0.0,-0.04584701013272442,-0.0,1.0,-0.33502212073640647,-0.0,-0.9123019837305552,-0.19423433709147997,-0.40705722848579995,-0.12252033680605111,-0.0,-0.050413871842443274,-0.0,-0.0,-0.0,-0.0,-0.5004638218923934,-0.0,-0.0
2019-02-04,-0.0,-0.045848645948549614,-0.0,1.0,-0.3349983944053948,-0.0,-0.9128340528775823,-0.1955971027937346,-0.40685767295821884,-0.12127591251293394,-0.0,-0.050879509044849607,-0.0,-0.0,-0.0,-0.0,-0.49969672101901735,-0.0,-0.0
2019-02-05,-0.0,-0.03304577213745901,-0.0,1.0,-0.3279267075431342,-0.0,-0.9047839726222728,-0.20811350349351207,-0.41615571082275776,-0.1210252388421503,-0.0,-0.05001425923285328,-0.0,-0.0,-0.0,-0.0,-0.5034222158847854,-0.0,-0.0
2019-02-06,-0.0,-0.020862458328852564,-0.0,1.0,-0.34064594759293115,-0.0,-0.9088790909416783,-0.19496720077427682,-0.43137254901960786,-0.1371832096641216,-0.0,-0.04075707065275836,-0.0,-0.0,-0.0,-0.0,-0.5099114600136215,-0.0,-0.0
