Date,IWF,IWM,MTUM,ROST,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.22734616465299243,-0.0,1.0,-0.1044183759483001,-0.0,-0.7909525147513348,-0.028905591458274798,-0.0,-0.0,-0.0,-0.023215790952514755,-0.0,-0.0,-0.5270441135150323,-0.0,-0.41300224782242206,-0.06490587243607755,-0.3323967406574881
2019-01-03,-0.0,-0.24455798978091972,-0.0,1.0,-0.06379925806677399,-0.0,-0.744942955134038,-0.10527052565269125,-0.0,-0.0,-0.0,-0.03814656680898719,-0.0,-0.0,-0.5504304612584867,-0.0,-0.4096381325680689,-0.0,-0.34289913907748304
2019-01-04,-0.0,-0.26611495216146375,-0.0,1.0,-0.054647670926740693,-0.0,-0.7180669041134157,-0.10273063761435854,-0.0,-0.009078846288148612,-0.0,-0.015364201410713037,-0.0,-0.0,-0.5729450380613171,-0.0,-0.42370277253998184,-0.0,-0.32917801522452683
2019-01-07,-0.0,-0.1870847457627119,-0.0,1.0,-0.10759322033898305,-0.0,-0.7597966101694916,-0.0436271186440678,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5473220338983051,-0.0,-0.37586440677966104,-0.0,-0.36854237288135594
2019-01-08,-0.0,-0.22563555677869893,-0.0,1.0,-0.08834153221645052,-0.0,-0.7374522687398948,-0.032577660050225325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5472496473906912,-0.0,-0.39966975128143384,-0.0,-0.40916440194021125
2019-01-09,-0.0,-0.23134456967566264,-0.0,1.0,-0.08833970978526867,-0.0,-0.74046117257781,-0.02671216351290801,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5485127356702169,-0.0,-0.40268155654361837,-0.0,-0.4086788680936132
2019-01-10,-0.0,-0.22468759735539479,-0.0,1.0,-0.08511890338883313,-0.0,-0.7464086676589705,-0.01450379037003704,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5741631762954758,-0.0,-0.4030599882308145,-0.0,-0.4135830246806743
2019-01-11,-0.0,-0.20959526431718065,-0.0,1.0,-0.08039647577092511,-0.0,-0.7302450440528635,-0.013938601321585904,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.580534140969163,-0.0,-0.3916230726872247,-0.0,-0.4352629405286344
2019-01-14,-0.0,-0.2085370051635112,-0.0,1.0,-0.07638554216867471,-0.0,-0.7289156626506025,-0.021790017211703958,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5839931153184166,-0.0,-0.39022375215146304,-0.0,-0.4325645438898451
2019-01-15,-0.0,-0.1832262035010941,-0.0,1.0,-0.10793900437636761,-0.0,-0.7331099562363238,-0.01935175054704595,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6004513129102844,-0.0,-0.3425875273522976,-0.0,-0.43233725382932164
