Date,IWF,IWM,MTUM,RP,SPY,VLUE,VXX
2018-09-24,-0.5544250534593365,-0.8169276402014211,-0.3349313651100228,1.0,-0.463716631027109,-0.2789542663999448,0.0
2018-09-25,-0.5619528736029895,-0.81664994290855,-0.34327531919310755,1.0,-0.46309816269333237,-0.2751461887131933,0.0
2018-09-26,-0.5646989497036292,-0.8207563520399319,-0.3476030365003986,1.0,-0.46348226974938467,-0.2698187112204929,0.0
2018-09-27,-0.5654553642567638,-0.8176464475006062,-0.34835625454671426,1.0,-0.46319326566667823,-0.26951189940069975,0.0
2018-09-28,-0.5663790414804034,-0.8170287971722633,-0.3483730117475829,1.0,-0.463561700800499,-0.2700211387185085,0.0
2018-10-01,-0.5656411501508792,-0.8192570497034442,-0.34872186188477683,1.0,-0.4637716346987617,-0.27109708300093643,0.0
2018-10-02,-0.5778921603916204,-0.9295227125476928,-0.32359081419624214,1.0,-0.48243466993017065,-0.2860125260960334,0.0
2018-10-03,-0.5776594213329495,-0.9278465524686915,-0.32352094429250033,1.0,-0.48279833021448104,-0.2868504390384338,0.0
2018-10-04,-0.5783149866896898,-0.9256061587164544,-0.32383624721202964,1.0,-0.483739837398374,-0.28591985034894596,0.0
2018-10-05,-0.565856983961824,-0.9204190735890351,-0.3105019554375516,1.0,-0.49434896487388325,-0.2968318323705644,0.0
2018-10-08,-0.5644699140401146,-0.917836676217765,-0.3080587392550143,1.0,-0.4957736389684813,-0.29548710601719197,0.0
2018-10-09,-0.582647936531043,-0.9348933692408472,-0.3294635708566853,1.0,-0.49992721449887173,-0.2923429652813159,0.0
2018-10-10,-0.5828906193144604,-0.9349028454988719,-0.3295611673095117,1.0,-0.499890837639182,-0.29149989083763916,0.0
2018-10-11,-0.5530940462243051,-0.9338942734405511,-0.290375261831221,1.0,-0.4838995988213158,-0.28899066283239255,0.0
2018-10-12,-0.5664958944487333,-0.9305214401010597,-0.2907221559407677,1.0,-0.4615411607832129,-0.25973752544038176,0.0
2018-10-15,-0.5718603915503849,-0.9275596639836914,-0.2947172331376753,1.0,-0.4626199430599979,-0.2580928614108467,0.0
2018-10-16,-0.5729456028692993,-0.9243644291290131,-0.2973733253630578,1.0,-0.46295580013361937,-0.2586237209465875,0.0
2018-10-17,-0.5649072753209701,-0.9044222539229672,-0.29205664381893465,1.0,-0.4585783375665426,-0.2593507532792874,0.0
2018-10-18,-0.563518028678825,-0.9023388556313517,-0.29336628149798133,1.0,-0.46136711680356396,-0.25984964499512736,0.0
2018-10-19,-0.5597826086956521,-0.8990930490168928,-0.2888050401550817,1.0,-0.46015646635281077,-0.2538424259207976,0.0
2018-10-22,-0.5578079905420912,-0.9127229736778052,-0.2990368232553287,1.0,-0.45603115546437634,-0.2515734204944539,0.0
2018-10-23,-0.5614169392442062,-0.9128679796784744,-0.3061451736376922,1.0,-0.450483680144756,-0.24883429605400514,0.0
2018-10-24,-0.5632779361657743,-0.9107850636256173,-0.3008483415617829,1.0,-0.4517766497461929,-0.25012168833878035,0.0
2018-10-25,-0.5433233817342922,-0.8786809607816528,-0.3004478219568462,1.0,-0.4489415117383634,-0.22119690595738903,0.0
2018-10-26,-0.5351624305672447,-0.8697862312741963,-0.2913987544184481,1.0,-0.45332435616899514,-0.21676485440161591,0.0
2018-10-29,-0.538962133728968,-0.8724415820885458,-0.2910948511312675,1.0,-0.45581144417844016,-0.21357520989985498,0.0
2018-10-30,-0.5248454548525487,-0.8773772928419417,-0.2797689423369253,1.0,-0.4622842279498699,-0.23379387224267809,0.0
2018-10-31,-0.5421244175368185,-0.8560593177102821,-0.27492262167953474,1.0,-0.4828747321519677,-0.24526376653855309,0.0
2018-11-01,-0.5418494711424003,-0.8563071795395027,-0.27469986055844636,1.0,-0.4828758970173111,-0.24528109376594226,0.0
2018-11-02,-0.5428590827307601,-0.8503920969548834,-0.2742302339002614,1.0,-0.4834844009912754,-0.2438130155820348,0.0
2018-11-05,-0.5385686154681876,-0.8634480885448494,-0.2737828478305154,1.0,-0.4850954030012901,-0.23419569498200582,0.0
2018-11-06,-0.5680206540447504,-0.8980034423407918,-0.25466437177280554,1.0,-0.49173838209982795,-0.22991394148020655,0.0
2018-11-07,-0.5630597918179617,-0.9043469239547672,-0.26389321160562995,1.0,-0.4927551267420549,-0.2341183386935021,0.0
2018-11-08,-0.565220402368503,-0.906229440077565,-0.2640673153502545,1.0,-0.4941653104331868,-0.23304131029467778,0.0
2018-11-09,-0.5696695652173914,-0.9114434782608696,-0.2603130434782609,1.0,-0.4977391304347827,-0.23909565217391304,0.0
2018-11-12,-0.5701250304740014,-0.9153693448960402,-0.25953400898547696,1.0,-0.497892940479922,-0.2398565109880542,0.0
2018-11-13,-0.5633388681333886,-0.9165628891656288,-0.25003459250034593,1.0,-0.4979244499792445,-0.23138923481389237,0.0
2018-11-14,-0.5640608785887236,-0.915911449325493,-0.2500864752680733,1.0,-0.49792459356623997,-0.23099273607748183,0.0
2018-11-15,-0.5646055732704838,-0.918099265215583,-0.2491681685845002,1.0,-0.4985096353805629,-0.23558158879800362,0.0
2018-11-16,-0.5624027388733271,-0.9106407995296885,-0.24660234464156033,1.0,-0.4980461320330602,-0.24048137773627973,0.0
2018-11-19,-0.56250864334117,-0.909486931268151,-0.24930853270640296,1.0,-0.4964043700732956,-0.2396625639607247,0.0
2018-11-20,-0.5718450645564348,-0.9165278356240457,-0.2538178536720811,1.0,-0.49645980841316123,-0.23212550326252948,0.0
2018-11-21,-0.5806106975461816,-0.9123586986490214,-0.26299283154121866,1.0,-0.49410669975186106,-0.19627102288392612,0.0
2018-11-23,-0.5820554536328707,-0.927654124407214,-0.2575374710097269,1.0,-0.4946519436463706,-0.19966077053549797,0.0
2018-11-26,-0.5819113218649407,-0.9330933508705133,-0.255962064310685,1.0,-0.4928178325430065,-0.1975009518535184,0.0
2018-11-27,-0.5804760262159366,-0.935288030355295,-0.2502587098999655,1.0,-0.4901000344946534,-0.19334253190755435,0.0
2018-11-28,-0.5798681804065012,-0.9396114427689015,-0.24928396424997412,1.0,-0.48890575934297253,-0.19313985989854723,0.0
2018-11-29,-0.5665183156453268,-0.9319411160561452,-0.2385826771653543,1.0,-0.4887024991441286,-0.19774049982882572,0.0
2018-11-30,-0.5676286330491939,-0.9328335216185685,-0.23730786347608782,1.0,-0.4901920509397146,-0.19540584026565336,0.0
2018-12-03,-0.5679139254385965,-0.9330112390350876,-0.23896655701754385,1.0,-0.4906455592105264,-0.19603207236842105,0.0
2018-12-04,-0.5669679539852095,-0.9338879758970146,-0.23918104628868805,1.0,-0.48942070665571075,-0.19426184606956998,0.0
2018-12-06,-0.556288728856138,-0.8918774074694357,-0.26936861497236647,1.0,-0.4732875565231955,-0.1587003851951097,0.0
2018-12-07,-0.5609837823348077,-0.8910333735424206,-0.2733212706071572,1.0,-0.472356252513068,-0.15306259214582496,0.0
2018-12-10,-0.5410767696909272,-0.9024260551678298,-0.2662013958125623,1.0,-0.4778331671651711,-0.1358258557660352,0.0
2018-12-11,-0.5440800186089788,-0.9001096600538332,-0.26893297444588443,1.0,-0.4783504469477952,-0.13155883428039744,0.0
2018-12-12,-0.5446811338938553,-0.8996709979728158,-0.26954903459506163,1.0,-0.4786481007610248,-0.13070353261772621,0.0
2018-12-13,-0.5425867507886436,-0.8946372239747634,-0.27215673252531963,1.0,-0.4827494604017932,-0.12847418230117882,0.0
2018-12-14,-0.54214463840399,-0.9018786367414795,-0.2684621778886118,1.0,-0.48162926018287616,-0.13090606816292602,0.0
2018-12-17,-0.5451335687162747,-0.9046699087335954,-0.268769568982746,1.0,-0.4857770967956832,-0.12657384584637932,0.0
2018-12-18,-0.5413202610049352,-0.8985459242820708,-0.26342287436653306,1.0,-0.4833228445563247,-0.12566658938094133,0.0
2018-12-19,-0.5411725736999006,-0.8984431931103014,-0.2634978469691951,1.0,-0.4833719774759854,-0.12583636965882744,0.0
2018-12-20,-0.5261003070624362,-0.8794202132928319,-0.2862614322976855,1.0,-0.4907055832535412,-0.11929210552382212,0.0
2018-12-21,-0.5258538509582197,-0.8808060221557478,-0.2854278294599126,1.0,-0.49100950001643606,-0.10407284441668585,0.0
2018-12-24,-0.513285616236886,-0.8680262770859888,-0.29247965486812433,1.0,-0.4844592607118345,-0.11004346831388698,0.0
2018-12-26,-0.5198962218258473,-0.8790984271120479,-0.28652505269985407,1.0,-0.4625587806064537,-0.09495702934976487,0.0
2018-12-27,-0.4854433171592413,-0.8522906295292709,-0.2899048459260193,1.0,-0.4177011783981347,-0.10545718066670867,0.0
2018-12-28,-0.4842072114627618,-0.8540387340576288,-0.2894032435836876,1.0,-0.4173201070697528,-0.10414108014485908,0.0
2018-12-31,-0.4830866141732283,-0.8554330708661417,-0.28976377952755905,1.0,-0.41722834645669293,-0.10406299212598424,0.0
2019-01-02,-0.4827673035157848,-0.8561896068741934,-0.2847565389820906,1.0,-0.4173302697428473,-0.10644927764313368,0.0
2019-01-03,-0.48543200553772575,-0.849852117550815,-0.3029073060222768,1.0,-0.42234598200239126,-0.08586621358001384,0.0
2019-01-04,-0.448346199711291,-0.8711793133747568,-0.29718194941316767,1.0,-0.4173727483838574,-0.10406075440908806,0.0
2019-01-07,-0.425928785398845,-0.8485222815848801,-0.3217009974985331,1.0,-0.40767734165096814,-0.08440134646860814,0.0
2019-01-08,-0.42420747482933824,-0.872759577319909,-0.31273962781708803,1.0,-0.4097440852841246,-0.09769022162650791,0.0
2019-01-09,-0.42053919276920676,-0.8599033816425119,-0.3100202586878604,1.0,-0.4147420913199314,-0.11151628486831852,0.0
2019-01-10,-0.4212378905398249,-0.8574276547363175,-0.31037597732299166,1.0,-0.4157243871289288,-0.11020776874435412,0.0
2019-01-11,-0.42521581383710744,-0.859846115350932,-0.3042662329538346,1.0,-0.4215250844488928,-0.11685224571500062,0.0
2019-01-14,-0.42478485370051633,-0.8571741511500547,-0.30511657017681115,1.0,-0.42190580503833514,-0.1203880456892505,0.0
2019-01-15,-0.40569184252361207,-0.8412144259842275,-0.32757707054019514,1.0,-0.4059723824070322,-0.13662292322558525,0.0
2019-01-16,-0.40110249462767444,-0.8409480208041359,-0.32620137656108883,1.0,-0.40334485658226665,-0.14282599894110684,0.0
2019-01-17,-0.4026115681874844,-0.8333644976315133,-0.3332398404387933,1.0,-0.4037334829219646,-0.14348042882074294,0.0
2019-01-18,-0.39536050156739816,-0.8233542319749216,-0.33589341692789965,1.0,-0.41003134796238244,-0.17012539184952977,0.0
2019-01-22,-0.36850715746421264,-0.9993078496145981,-0.3107126002831524,1.0,-0.46761050810130567,-0.0,0.0
2019-01-23,-0.347149446205014,-0.9934736908161025,-0.3318377208120235,1.0,-0.4651877882714694,-0.0,0.0
2019-01-24,-0.360892801005973,-0.9939641622131405,-0.31851618987739705,1.0,-0.4702923608928011,-0.0,0.0
2019-01-25,-0.33864338738968364,-1.044413292127314,-0.2998375123458757,1.0,-0.5031701022716412,-0.0,0.0
2019-01-28,-0.34004659921483515,-1.0428010596533785,-0.3005649356867001,1.0,-0.508314448948326,-0.0,0.0
2019-01-29,-0.3392965144039472,-1.0169982492439917,-0.3219481139583002,1.0,-0.5049498647143085,-0.0,0.0
2019-01-30,-0.33991151287519494,-1.0170289970398192,-0.32167297959703345,1.0,-0.5043766113887386,-0.0,0.0
2019-01-31,-0.31692111959287533,-1.034382951653944,-0.3208969465648855,1.0,-0.5084923664122137,-0.0,0.0
2019-02-01,-0.3188825890297509,-1.0333184684971652,-0.31748104733388544,1.0,-0.515639931197044,-0.0,0.0
2019-02-04,-0.3130060567421103,-1.0307618744022953,-0.3248645202422697,1.0,-0.5191265540325152,-0.0,0.0
2019-02-05,-0.30577616177080347,-1.032468982234555,-0.3232226581188403,1.0,-0.5280196472426881,-0.0,0.0
2019-02-06,-0.3190823108384458,-1.0276393149284253,-0.3119887525562372,1.0,-0.536586145194274,-0.0,0.0
