Date,IWF,IWM,MTUM,SAFE,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.18319683509161575,-0.0,1.0,-0.18153109383675733,-0.0,-0.5841893392559688,-0.0,-0.18139228206551913,-0.1402692948362021,-0.0,-0.05514297612437535,-0.0,-0.0,-0.3679205996668517,-0.0,-0.776617157134925,-0.0,-0.0
2019-01-03,-0.0,-0.1742448218869782,-0.0,1.0,-0.21225867707564086,-0.0,-0.6334704786018215,-0.0,-0.17804269086049865,-0.1273341069733094,-0.0,-0.039807293315047294,-0.0,-0.0,-0.3604810634033126,-0.0,-0.7909062137356261,-0.0,-0.0
2019-01-04,-0.0,-0.17196643869421135,-0.0,1.0,-0.20767820630332084,-0.0,-0.6442924628075866,-0.0,-0.1845166748924769,-0.12497355989564972,-0.0,-0.04124656278643446,-0.0,-0.0,-0.3579990129027709,-0.0,-0.7926038214764154,-0.0,-0.0
2019-01-07,-0.0,-0.08208827065086725,-0.0,1.0,-0.38210544392924606,-0.0,-0.8209857461789455,-0.0,-0.07422290915335737,-0.050832904001373864,-0.0,-0.014047741713893181,-0.0,-0.0,-0.3092220504894384,-0.0,-0.70118495620814,-0.0,-0.0
2019-01-08,-0.0,-0.034896212357486925,-0.0,1.0,-0.3830613022836747,-0.0,-0.8355338392764321,-0.0,-0.08854004227743702,-0.05721315452056694,-0.0,-0.03181203867345878,-0.0,-0.0,-0.31413521849118065,-0.0,-0.72017188203902,-0.0,-0.0
2019-01-09,-0.0,-0.0007902422264215772,-0.0,1.0,-0.34897783885930256,-0.0,-0.8820477581171621,-0.0,-0.08555231059955334,-0.03367119051709328,-0.0,-0.08166981618278647,-0.0,-0.0,-0.31513485655385676,-0.0,-0.6879573956364886,-0.0,-0.0
2019-01-10,-0.0,-0.0,-0.0,1.0,-0.3361524388139045,-0.0,-0.8804584210707999,-0.0,-0.09154613552418102,-0.0370395940488108,-0.0,-0.07494217957126584,-0.0,-0.0,-0.337429666194898,-0.0,-0.6943974593531016,-0.0,-0.0
2019-01-11,-0.0,-0.0,-0.0,1.0,-0.327703978306388,-0.0,-0.8659595647547456,-0.0,-0.06827309236947793,-0.04503484021556311,-0.0,-0.09748395290563966,-0.0,-0.0,-0.35554182542134355,-0.0,-0.6725706243778533,-0.0,-0.0
2019-01-14,-0.0,-0.0,-0.0,1.0,-0.3284007416054384,-0.0,-0.8639360021973495,-0.0,-0.06935384192817413,-0.04631600631737966,-0.0,-0.09654604133763647,-0.0,-0.0,-0.35408226326993064,-0.0,-0.6747579482249536,-0.0,-0.0
2019-01-15,-0.0,-0.0,-0.0,1.0,-0.33414109696576677,-0.0,-0.8561043039011571,-0.0,-0.05979726270521179,-0.04245878698931704,-0.0,-0.10730741663538007,-0.0,-0.0,-0.3604218574012765,-0.0,-0.6528550462473123,-0.0,-0.0
2019-01-16,-0.0,-0.0,-0.0,1.0,-0.3509105090033572,-0.0,-0.8447895825562075,-0.0,-0.12635219912509751,-0.0,-0.0,-0.0831496490216691,-0.0,-0.0,-0.35626843907897865,-0.0,-0.6293533181864425,-0.0,-0.0
2019-01-17,-0.0,-0.0,-0.0,1.0,-0.3558414084891497,-0.0,-0.8261908011464446,-0.0,-0.12020608707520129,-0.0,-0.0,-0.1233451617305855,-0.0,-0.0,-0.330012283335608,-0.0,-0.6564760474955643,-0.0,-0.0
