Date,IWF,IWM,MTUM,SPY,TCRR,VLUE,VXX
2019-10-14,-3.4469349176343504,-1.3456656764785309,-9.398595733189307,-7.585471239535511,1.0,-4.228733459357278,0.0
2019-10-15,-3.448108108108108,-1.3486486486486486,-9.407567567567568,-7.591891891891891,1.0,-4.231081081081081,0.0
2019-10-16,-3.3857066381156318,-1.3241434689507496,-9.410331905781586,-7.523019271948608,1.0,-4.123661670235546,0.0
2019-10-17,-3.377504675394069,-1.3633449104995994,-9.355864279989314,-7.523109804969277,1.0,-4.096981031258348,0.0
2019-10-18,-3.3601604278074864,-1.3446524064171121,-9.387433155080213,-7.547593582887699,1.0,-4.098128342245989,0.0
2019-10-21,-3.299442527209981,-1.3204141226440138,-9.329705335810988,-7.50491106981683,1.0,-4.091850278736395,0.0
2019-10-22,-3.2690181626743877,-1.2750723874703869,-9.278494340615952,-7.453540405369834,1.0,-4.04685443537773,0.0
2019-10-23,-3.174230568596766,-1.2858633281168492,-9.117631716223265,-7.398278560250391,1.0,-4.106155451225874,0.0
2019-10-24,-3.2538523925385237,-1.3135982698026494,-9.5301432819681,-7.660178426601783,1.0,-4.276561232765612,0.0
2019-10-25,-3.204913606911447,-1.3442224622030239,-9.43196544276458,-7.690334773218143,1.0,-4.326403887688985,0.0
2019-10-28,-3.195973154362416,-1.3468456375838926,-9.401879194630872,-7.678389261744966,1.0,-4.2222818791946315,0.0
2019-10-29,-3.169445938676708,-1.3399677245831094,-9.459117805271653,-7.735879505110274,1.0,-4.191769768692845,0.0
2019-10-30,-3.207700650759219,-1.3139913232104121,-9.546637744034706,-7.8175162689804765,1.0,-4.22939262472885,0.0
2019-10-31,-3.1818181818181817,-1.3179112554112555,-9.518398268398268,-7.803030303030303,1.0,-4.2351190476190474,0.0
2019-11-01,-3.192826321467098,-1.3058252427184465,-9.47437971952535,-7.795037756202805,1.0,-4.2009169363538295,0.0
2019-11-04,-3.120817843866171,-1.2065852363250134,-9.41529474243229,-7.720658523632502,1.0,-4.089750398300584,0.0
2019-11-05,-3.118693574083909,-1.2047265002655339,-9.418746680828466,-7.722782793414764,1.0,-4.088422729686671,0.0
2019-11-06,-3.1090957588690316,-1.2192584689250465,-9.427580688183514,-7.7714057081888495,1.0,-4.146172312616697,0.0
2019-11-07,-3.1104294478527605,-1.2197919445185381,-9.426780474793278,-7.770338757001867,1.0,-4.146439050413443,0.0
2019-11-08,-3.13403451995685,-1.2370550161812297,-9.56984897518878,-7.862729234088456,1.0,-4.164778856526429,0.0
2019-11-11,-3.1147849462365595,-1.225,-9.531182795698925,-7.858333333333333,1.0,-4.15241935483871,0.0
2019-11-12,-3.1219052744886975,-1.226049515608181,-9.551668460710442,-7.858719052744887,1.0,-4.152045209903122,0.0
2019-11-13,-3.1183431952662723,-1.2305002689618074,-9.541151156535772,-7.852608929532007,1.0,-4.153846153846154,0.0
2019-11-14,-3.1114401076716014,-1.222880215343203,-9.5628532974428,-7.86729475100942,1.0,-4.15343203230148,0.0
2019-11-15,-3.108173725384408,-1.2276773671432426,-9.594011329916375,-7.881305637982195,1.0,-4.164823307256542,0.0
2019-11-18,-3.058997050147493,-1.2477876106194692,-9.57656208098686,-7.83239474389917,1.0,-4.101099490480022,0.0
2019-11-19,-3.0606060606060606,-1.2518101367658891,-9.573075891659963,-7.8299812282113175,1.0,-4.101367658889783,0.0
2019-11-20,-3.056928034371643,-1.2564446831364124,-9.603651987110634,-7.844790547798066,1.0,-4.0907626208378085,0.0
2019-11-21,-3.075364667747164,-1.2814694759589413,-9.684224743381955,-7.909778498109131,1.0,-4.06185845488925,0.0
2019-11-22,-3.0686776191758685,-1.2566657689200107,-9.619445192566657,-7.903043361163478,1.0,-4.084567734985186,0.0
2019-11-25,-3.0702557200538356,-1.255450874831763,-9.61507402422611,-7.898519515477793,1.0,-4.078600269179003,0.0
2019-11-26,-3.057311194429566,-1.0565077664702731,-9.611140867702195,-7.935190144617033,1.0,-4.120514193893948,0.0
2019-11-27,-3.0475808607324244,-1.0505212510024058,-9.57177225340818,-7.923282544774125,1.0,-4.137663726276397,0.0
2019-11-29,-3.047478540772532,-1.0278969957081545,-9.620171673819742,-7.95681330472103,1.0,-4.171673819742489,0.0
