Date,IWF,IWM,MTUM,SDY,SPY,TFC,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.0,-0.0,-0.0865647974628802,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7976310604968527,-0.0,-0.0,-0.30978809283551967,-0.0,-0.20859161020614098,-0.0,-0.0
2019-01-03,-0.0,-0.0,-0.0,-0.04737336965693484,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8442826490513272,-0.0,-0.0,-0.33031172400491815,-0.0,-0.18886665541599365,-0.0,-0.0
2019-01-04,-0.0,-0.0,-0.0,-0.039410052209898225,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8299689627793951,-0.0,-0.0,-0.34213122248153405,-0.0,-0.19447585592955272,-0.0,-0.0
2019-01-07,-0.0,-0.0,-0.0,-0.036555876914323646,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8115072779858709,-0.0,-0.0,-0.3354274335024418,-0.0,-0.18718884832392965,-0.0,-0.0
2019-01-08,-0.0,-0.0,-0.0,-0.04968443031367152,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8081668485740047,-0.0,-0.0,-0.3325107958050586,-0.0038200540976605136,-0.17852227969439569,-0.0,-0.0
2019-01-09,-0.0,-0.0,-0.0,-0.0376336455672249,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8147885325007096,-0.0,-0.0,-0.3352256599489072,-0.0,-0.17757119878891095,-0.0,-0.0
2019-01-10,-0.0,-0.0,-0.0,-0.048867643230707344,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8214733653595854,-0.0,-0.0,-0.31388882315356037,-0.002295477672338311,-0.1799701824549779,-0.0,-0.0
2019-01-11,-0.0,-0.0,-0.0,-0.03703441605925507,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.828061236524898,-0.0,-0.0,-0.3227655509164249,-0.0,-0.1710188002736301,-0.0,-0.0
2019-01-14,-0.0,-0.0,-0.0,-0.04640881365549199,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8253818147430138,-0.0,-0.0,-0.3141283275805002,-0.0,-0.1782590193389758,-0.0,-0.0
2019-01-15,-0.0,-0.0,-0.0,-0.03506004238285849,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8363550741700023,-0.0,-0.0,-0.32674829291264423,-0.00452083823875677,-0.15191900164822225,-0.0,-0.0
2019-01-16,-0.0,-0.0,-0.0,-0.04542896008255547,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8298231624372626,-0.0,-0.0,-0.32342042309676816,-0.0018762606125990902,-0.14477695951967728,-0.0,-0.0
2019-01-17,-0.0,-0.0,-0.0,-0.033978180447230145,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8555809514833054,-0.0,-0.0,-0.2972501708334315,-0.00947241923702255,-0.160017908056269,-0.0,-0.0
2019-01-18,-0.0,-0.0,-0.0,-0.04556434424288353,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8549945531189315,-0.0,-0.0,-0.2968076540520059,-0.007270402121915407,-0.16354852460569316,-0.0,-0.0
2019-01-22,-0.0,-0.0,-0.0,-0.04503885519332827,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8567807050796058,-0.0,-0.0,-0.2990428354814253,-0.005472896133434419,-0.16290750568612586,-0.0,-0.0
2019-01-23,-0.0,-0.0,-0.0,-0.03338301748408924,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8607424231670098,-0.0,-0.0,-0.28831002910071685,-0.011498332032081766,-0.17197813897366743,-0.0,-0.0
2019-01-24,-0.0,-0.0,-0.0,-0.035000591226203144,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8603287217689488,-0.0,-0.0,-0.2855149580229396,-0.01305427456544874,-0.17098261794962755,-0.0,-0.0
2019-01-25,-0.0,-0.0,-0.0,-0.03753046688279419,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8563382948011073,-0.0,-0.0,-0.295842305781017,-0.009489102912988948,-0.16713599469935397,-0.0,-0.0
