Date,IWF,IWM,MTUM,SPY,TPIC,VLUE,VXX
2018-09-24,-0.7351626591230552,-1.6247241867043847,-0.07734087694483735,-1.1925318246110326,1.0,-1.027949080622348,0.0
2018-09-25,-0.7426320562230787,-1.623781455452278,-0.08626161868057129,-1.1913965087281795,1.0,-1.0235774200861483,0.0
2018-09-26,-0.7432554976195874,-1.6245749263205622,-0.08773520743595556,-1.190943096803446,1.0,-1.021140330990705,0.0
2018-09-27,-0.7444243178987885,-1.617400656628552,-0.0894939431676667,-1.1895731914411865,1.0,-1.0197554624702818,0.0
2018-09-28,-0.7449615036231885,-1.6168478260869568,-0.09012681159420291,-1.1894814311594204,1.0,-1.0198143115942029,0.0
2018-10-01,-0.7485118203979818,-1.6163047791824936,-0.0901978570213731,-1.192697998752764,1.0,-1.0215431713815977,0.0
2018-10-02,-0.7498724706682537,-1.6031853993085075,-0.09533526044323529,-1.1950915377203424,1.0,-1.0245423113982883,0.0
2018-10-03,-0.7490229396771452,-1.5914471821013876,-0.09402435570659869,-1.1985273293684509,1.0,-1.0310960067969412,0.0
2018-10-04,-0.7535665760869565,-1.5824841485507246,-0.09533514492753624,-1.2040307971014494,1.0,-1.025871829710145,0.0
2018-10-05,-0.739791607997747,-1.576795268938327,-0.07738665164742325,-1.2086736130667417,1.0,-1.0295128132920304,0.0
2018-10-08,-0.742307040822088,-1.581954717407261,-0.07859522330754899,-1.210716503867653,1.0,-1.03263508554006,0.0
2018-10-09,-0.746154716127573,-1.5845962451933953,-0.08425695543994571,-1.2099638090929654,1.0,-1.0298574983035513,0.0
2018-10-10,-0.7460092833691836,-1.5877391599683006,-0.0823615985508887,-1.211366466659119,1.0,-1.0330578512396693,0.0
2018-10-11,-0.642220399234345,-1.58534317746787,-0.0,-1.1864369701941482,1.0,-1.054963084495488,0.0
2018-10-12,-0.6438937862825198,-1.5690711674908622,-0.0,-1.1505590195656847,1.0,-1.0116641582455386,0.0
2018-10-15,-0.6175761795105232,-1.5875328013709633,-0.0,-1.142719434477588,1.0,-1.0075510094789268,0.0
2018-10-16,-0.6078357607352072,-1.613855000806148,-0.0,-1.1438705863384746,1.0,-1.008760144031816,0.0
2018-10-17,-0.5688622754491017,-1.5451202857443007,-0.0,-1.1272717722449836,1.0,-1.0113457295934447,0.0
2018-10-18,-0.5714210498604749,-1.5522034433738747,-0.0,-1.127415363554994,1.0,-1.0140578107723899,0.0
2018-10-19,-0.5465298040850354,-1.5346498541058775,-0.0,-1.1236452688620258,1.0,-1.0056273447269695,0.0
2018-10-22,-0.546515262006459,-1.5227627877903946,-0.0,-1.128919679133243,1.0,-1.0106781956453796,0.0
2018-10-23,-0.5442120089728206,-1.524962178517398,-0.0,-1.1334967916949241,1.0,-1.0140852417966508,0.0
2018-10-24,-0.5415949512335054,-1.5192718927658686,-0.0,-1.136128931309654,1.0,-1.0186720909612477,0.0
2018-10-25,-0.476613916101482,-1.4393870886711881,-0.0,-1.1458427530771162,1.0,-0.9620195930670685,0.0
2018-10-26,-0.4440524694425122,-1.418165556990957,-0.0,-1.1579548842293552,1.0,-0.9484746099572693,0.0
2018-10-29,-0.41733293850557696,-1.4250814332247557,-0.0,-1.1440627776132661,1.0,-0.9488698055473299,0.0
2018-10-30,-0.3821069401573235,-1.4411530419197451,-0.0,-1.1603604500647215,1.0,-0.9950214079458329,0.0
2018-10-31,-0.3851234780894169,-1.4090797062158034,-0.0,-1.1520185340365752,1.0,-0.9830433282397595,0.0
2018-11-01,-0.35707249802994484,-1.4321808510638299,-0.0,-1.1514972419227738,1.0,-0.9844365642237983,0.0
2018-11-02,-0.3598866190988173,-1.4006450982308671,-0.0,-1.1522334082689865,1.0,-0.9742938129215131,0.0
2018-11-05,-0.3571986716155499,-1.4068177378394218,-0.0,-1.151787458487986,1.0,-0.9679624926743504,0.0
2018-11-06,-0.35822061624102736,-1.4068558035060306,-0.0,-1.1509351042531373,1.0,-0.9670394062210068,0.0
2018-11-07,-0.35761007517328913,-1.406765596016792,-0.0,-1.1503953919750074,1.0,-0.9666113443327151,0.0
2018-11-08,-0.3169578226039958,-1.4053180194961878,-0.0,-1.1339156452079917,1.0,-0.9695975291960236,0.0
2018-11-09,-0.33815416728790815,-1.4492818448387257,-0.0,-1.1706177625366532,1.0,-1.0118781372695194,0.0
2018-11-12,-0.33851193726113066,-1.4214026902268329,-0.0,-1.191343624360947,1.0,-1.0122598898098973,0.0
2018-11-13,-0.3185853802900266,-1.418910920390648,-0.0,-1.1898983920292,1.0,-1.005080398540002,0.0
2018-11-14,-0.3177098783743696,-1.4239098190447939,-0.0,-1.1933155344605952,1.0,-1.0091960842479977,0.0
2018-11-15,-0.3171769128047876,-1.4298432167762996,-0.0,-1.2031257727879716,1.0,-0.9956971165735199,0.0
2018-11-16,-0.3159972367512089,-1.4230237836770945,-0.0,-1.1996940688838449,1.0,-0.9957070956281456,0.0
2018-11-19,-0.3146100691016782,-1.4239881539980255,-0.0,-1.2009378084896347,1.0,-0.9962981243830207,0.0
2018-11-20,-0.2723756365060713,-1.4128476302389346,-0.0,-1.201086956521739,1.0,-1.0099392871132002,0.0
2018-11-21,-0.2793233811554866,-1.403596355176425,-0.0,-1.1970240403257075,1.0,-0.9668960837533928,0.0
2018-11-23,-0.2797488684479486,-1.4189906069012506,-0.0,-1.1976930938823185,1.0,-0.9704579744001557,0.0
