Date,IWF,IWM,MTUM,SPY,TSN,VLUE,VXX
2018-09-24,-0.32490127965321697,-0.6697247706422018,-0.025949348297259582,-0.48950446839464384,1.0,-0.45895311896915175,0.0
2018-09-25,-0.32568630360587625,-0.6686155215907403,-0.027481822228817326,-0.4884997774150467,1.0,-0.4574862739278825,0.0
2018-09-26,-0.3253659550461712,-0.668517473796728,-0.02606965765016776,-0.4893256925680692,1.0,-0.45993052050239025,0.0
2018-09-27,-0.32526506489263757,-0.6691514953520834,-0.026046152475423953,-0.48941225386831394,1.0,-0.4600694960054646,0.0
2018-09-28,-0.32483962936564503,-0.6692801140413399,-0.026431456402946068,-0.48924922784509384,1.0,-0.46002613447374674,0.0
2018-10-01,-0.32561040812689357,-0.6684785837343313,-0.026436167052812924,-0.4897522723222242,1.0,-0.4600487138359175,0.0
2018-10-02,-0.3255143298846474,-0.6745154001664883,-0.02509216315852063,-0.48888096087525273,1.0,-0.45903198953502206,0.0
2018-10-03,-0.32530478739220936,-0.6656259292298543,-0.023639607493309546,-0.4930716622063634,1.0,-0.4658638120725543,0.0
2018-10-04,-0.32664645744174986,-0.6625059438896814,-0.02419163100332858,-0.4946207798383262,1.0,-0.4639800285306705,0.0
2018-10-05,-0.311868649244614,-0.6593462260496439,-0.0054530826305908995,-0.5156589886468608,1.0,-0.4875294257874192,0.0
2018-10-08,-0.3132366683748832,-0.6664757483495614,-0.0,-0.5370632743496216,1.0,-0.4976939076960178,0.0
2018-10-09,-0.30382373584790506,-0.6768897433550002,-0.0,-0.552900607281272,1.0,-0.5180200799536148,0.0
2018-10-10,-0.30368584853847563,-0.6768169890767072,-0.0,-0.5529383047537683,1.0,-0.5177579788857022,0.0
2018-10-11,-0.2525722757598221,-0.6628020756115641,-0.0,-0.5315937731653076,1.0,-0.5181912527798369,0.0
2018-10-12,-0.2545534407027818,-0.655519765739385,-0.0,-0.5167789165446559,1.0,-0.5014348462664714,0.0
