Date,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,WEC,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07134934468162166,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1472032958326731,-0.06851981800484415,-0.976548882902868,-0.0,-0.0
2019-01-03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07441173127202455,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1388655223371604,-0.07854950551324315,-0.9816755712174605,-0.0,-0.0
2019-01-04,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06168389553862895,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.13662948857453752,-0.08562295973884657,-0.9829978237214363,-0.0,-0.0
2019-01-07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03639371381306865,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11523930878769588,-0.10732568797084925,-0.9765273958822346,-0.0,-0.0
2019-01-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03629050279329609,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11374301675977654,-0.10869273743016761,-0.9759106145251396,-0.0,-0.0
2019-01-09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03522099447513812,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11535376938157191,-0.10185350204954553,-0.9753608982356086,-0.0,-0.0
2019-01-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.036703786191536754,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11307349665924277,-0.1021826280623608,-0.9751893095768375,-0.0,-0.0
2019-01-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03789281174030377,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11095746816245512,-0.10444498962910095,-0.9769832950465018,-0.0,-0.0
2019-01-14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03720805728434719,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11363180084320416,-0.10555667090499453,-0.9742800419371388,-0.0,-0.0
2019-01-15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.028376189736649432,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12559625496416923,-0.12260111374880747,-0.9420273778093314,-0.0,-0.0
2019-01-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03151428825781181,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12607940888453664,-0.12196207602599483,-0.9460295557731684,-0.0,-0.0
2019-01-17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03256538675570395,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12313856427378966,-0.12358375069560379,-0.9466221480244853,-0.0,-0.0
2019-01-18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.035438862390228684,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12245352828422414,-0.12296616591628404,-0.947978424642268,-0.0,-0.0
2019-01-22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03021208483393357,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11389000044462229,-0.12627273131474812,-0.9527366502156418,-0.0,-0.0
2019-01-23,-0.0,-0.0,-0.0,-0.0,-0.0,-0.029056981006331223,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11114073086748862,-0.12646895479284684,-0.9547928468288349,-0.0,-0.0
