Date,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XYL
2019-01-02,-0.0,-0.07529756042657362,-0.0,-0.2240637046624835,-0.0,-0.1317425926447002,-0.017670727932693663,-0.5197388784152621,-0.0,-0.0,-0.06038436647063789,-0.3796955457384845,-0.0,-0.0,-0.0,-0.24055263231942373,-0.16463603365316976,-0.0,1.0
2019-01-03,-0.0,-0.07517526818143425,-0.0,-0.22538502688853226,-0.0,-0.13390770616887687,-0.016076808288988373,-0.5193006166061322,-0.0,-0.0,-0.06030914773207197,-0.37824140552411517,-0.0,-0.0,-0.0,-0.24084241349213056,-0.1662865669960864,-0.0,1.0
2019-01-04,-0.0,-0.07764970480742198,-0.0,-0.22873207759347763,-0.0,-0.1310373910598819,-0.01748664605004217,-0.5175991003654765,-0.0,-0.0,-0.05822322181613719,-0.37478211976384596,-0.0,-0.0,-0.0,-0.2410177115546809,-0.16482991284790555,-0.0,1.0
2019-01-07,-0.0,-0.05283280232719213,-0.0,-0.26651890843607146,-0.0,-0.15664219420972433,-0.006898462390912869,-0.49319850394791526,-0.0,-0.0,-0.05283280232719213,-0.3674470148219975,-0.0,-0.0,-0.0,-0.21016761324283142,-0.1639285219559496,-0.0,1.0
2019-01-08,-0.0,-0.0,-0.0,-0.26800224152423646,-0.0,-0.1735500140095265,-0.0,-0.5197534323339871,-0.0,-0.0,-0.08100308209582517,-0.3497057999439619,-0.0,-0.0,-0.0,-0.23112916783412718,-0.17878957691230038,-0.0,1.0
2019-01-09,-0.0,-0.0,-0.0,-0.24852813973604174,-0.0,-0.17732079578113227,-0.0,-0.5199642847177656,-0.0,-0.0,-0.09849605178715924,-0.3348586735120958,-0.0,-0.0,-0.0,-0.22562013449035967,-0.18549624710510895,-0.0,1.0
2019-01-10,-0.0,-0.0,-0.0,-0.2520949720670391,-0.0,-0.1690782122905028,-0.0,-0.5063966480446928,-0.0,-0.0,-0.10388268156424582,-0.35047486033519554,-0.0,-0.0,-0.0,-0.22139664804469275,-0.18997206703910616,-0.0,1.0
2019-01-11,-0.0,-0.0,-0.0,-0.2520627639638632,-0.0,-0.1707828713674377,-0.0,-0.5069224960143205,-0.0,-0.0,-0.10111039633037787,-0.3552429166783207,-0.0,-0.0,-0.0,-0.22440074958744718,-0.18644589265236483,-0.0,1.0
2019-01-14,-0.0,-0.0,-0.0,-0.25112659893078065,-0.0,-0.17404204103339213,-0.0008397010664203543,-0.5004338455509839,-0.0,-0.0,-0.10653007529319562,-0.35317826853640105,-0.0,-0.0,-0.0,-0.22193299185489967,-0.1909480225039886,-0.0,1.0
2019-01-15,-0.0,-0.0,-0.0,-0.2649655979275189,-0.0,-0.17462881974428257,-0.0,-0.48123903172790333,-0.0,-0.0,-0.12245466447533358,-0.36429984122120396,-0.0,-0.0,-0.0,-0.20206690994178111,-0.17596590434273937,-0.0,1.0
